explainability_type,target_variable,feature_name,spearman_correlation,abs_spearman_correlation,interpretation,source
State-feature Spearman correlation,dt_base_delay,dt_high_pressure_flag,0.5172171003319285,0.5172171003319285,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_cost_graph_pressure,0.5166537970736668,0.5166537970736668,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_freight_pressure,0.5124406529336593,0.5124406529336593,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_entity_graph_risk,0.5028736115562153,0.5028736115562153,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_delivery_pressure,0.42813449689257976,0.42813449689257976,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_structural_exposure,-0.39210198422830683,0.39210198422830683,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_delay_service_graph,0.3522923589246697,0.3522923589246697,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_base_service,-0.34541304079686286,0.34541304079686286,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_service_gap,0.34541304067181555,0.34541304067181555,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_cost_sensitivity,0.33847560097256907,0.33847560097256907,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_route_pressure,0.3364096929446488,0.3364096929446488,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_status_pressure,0.24574337071815286,0.24574337071815286,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_service_pressure,0.21582488890261933,0.21582488890261933,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_seller_pressure,0.19645166683837786,0.19645166683837786,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_value_pressure,0.13239750023607638,0.13239750023607638,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_base_resilience,-0.10181395424832562,0.10181395424832562,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_resilience_gap,0.10181395424832562,0.10181395424832562,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_coordination_opportunity,-0.09963775835436714,0.09963775835436714,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_payment_pressure,0.0640165013585221,0.0640165013585221,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_resilience_pressure,0.03167310836592743,0.03167310836592743,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_graph_context,-0.028477913863018203,0.028477913863018203,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_delay,dt_order_complexity,0.012984708583700247,0.012984708583700247,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_resilience_gap,-1.0,1.0,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_coordination_opportunity,-0.9344628903213821,0.9344628903213821,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_structural_exposure,-0.7793900419911717,0.7793900419911717,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_graph_context,-0.773666296010949,0.773666296010949,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_resilience_pressure,-0.7537905186597422,0.7537905186597422,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_demand_pressure,-0.5435659347388253,0.5435659347388253,moderate_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_distance_pressure,0.48471909931343965,0.48471909931343965,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_base_cost,0.46344452123534624,0.46344452123534624,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_cost_graph_pressure,0.44097461415103106,0.44097461415103106,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_freight_pressure,0.4249205425123474,0.4249205425123474,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_cost_sensitivity,0.4081329012726807,0.4081329012726807,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_base_service,0.35226135822783045,0.35226135822783045,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_service_gap,-0.352261358219897,0.352261358219897,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_state_pressure_index,-0.32627975718663316,0.32627975718663316,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_seller_pressure,-0.32026544134288965,0.32026544134288965,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_service_pressure,-0.2934351169933588,0.2934351169933588,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_base_risk,-0.29281816729602295,0.29281816729602295,weak_negative,Step 20 actual digital-twin state dataset
