dataset,name,status,best_ml_model,best_ml_accuracy,best_ml_macro_f1
Dataset 1,Dataset 1: DataCo Supply Chain,AUTO_DISCOVERY_ONLY,N/A,,
Dataset 2,Dataset 2: Olist Brazilian E-Commerce,LOCKED,CatBoost,0.973192093738904,0.9738804745739102
