Dataset,Best ML Model,ML Accuracy,ML Macro-F1,Reward Improvement (%),Risk Reduction (%),Delay Reduction (%),Service Improvement (%),Resilience Improvement (%)
Dataset 1: DataCo,CatBoost-RGC,0.8009454169436443,0.8007445299894475,26.62623777525467,8.611926196862992,21.0769059376054,13.027839076970704,8.768457317094512
Dataset 2: Olist,CatBoost,0.973192093738904,0.9738804745739102,11.125396929663223,13.1631564650921,15.191429923927558,5.370314190038958,6.396745835911314
