feature,missing,mean,std,min,max
qty_lag_1,0,2.096676804103723,1.4641878374010469,0.0,5.0
qty_lag_3,0,2.0426492502174285,1.4813506306795208,0.0,5.0
qty_lag_7,0,1.9575501747738466,1.5047053668417996,0.0,5.0
qty_roll_mean_3,0,2.0970553422816067,1.1872165061386175,0.0,5.0
qty_roll_mean_7,0,2.097525692454481,1.0978431041090695,0.0,5.0
qty_roll_std_7,0,0.7618114130484317,0.724728796830689,0.0,2.8284271247461903
delay_lag_1,0,0.553797661188019,1.4841688019271158,-2.0,4.0
delay_roll_mean_7,0,0.5537472905503418,0.9446136820170082,-2.0,4.0
delay_roll_std_7,0,1.0824141172000368,0.6087120840087437,0.0,2.8284271247461903
profit_lag_1,0,21.6571378862324,103.23268141061797,-3442.5,721.5999756
profit_roll_mean_7,0,21.742396448309787,43.02993294748385,-1105.5233358133335,720.2999878
profit_roll_std_7,0,71.80269417353476,71.19585891000848,0.0,2140.8364950337427
shipping_mode_historical_late_rate,0,0.5493550493095686,0.22692388521740306,0.0,1.0
delay_risk,0,0.23151441122541117,0.26043690860718605,0.0,1.0
late_delivery_component,0,0.5482913155955883,0.49766386328809237,0.0,1.0
demand_volatility_risk,0,0.396970832288139,0.3768399103036597,0.0,1.0
anomaly_risk,0,0.18538827885767023,0.10883713078376836,0.006935437732617957,0.8
shortage_exposure_risk,0,0.12940630969065647,0.24844471646880356,0.0,1.0
profit_loss_risk,0,0.062024167323118926,0.18595043708297238,0.0,1.0
shipping_risk,0,0.29457734452371465,0.3937561369678865,0.0,1.0
composite_disruption_risk_score,0,0.2950158673595789,0.18037945644169504,0.010550914153847138,0.875593874089807
risk_label,0,1.0100044870623037,0.818477316069977,0.0,2.0
