driver_feature,explained_outcome,spearman_correlation,abs_spearman_correlation,interpretation
dt_demand_pressure,resilience_delta,0.2357076973083583,0.2357076973083583,dt_demand_pressure has a positive monotonic association with resilience_delta. The value is computed from actual test-set decision outcomes.
dt_cost_pressure,resilience_delta,0.09599009410788621,0.09599009410788621,dt_cost_pressure has a positive monotonic association with resilience_delta. The value is computed from actual test-set decision outcomes.
dt_profit_stress,resilience_delta,0.02332862311948029,0.02332862311948029,dt_profit_stress has a positive monotonic association with resilience_delta. The value is computed from actual test-set decision outcomes.
dt_base_delay_prob,reward_delta,0.8616515485721529,0.8616515485721529,dt_base_delay_prob has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
service_intensity,reward_delta,0.828193708423383,0.828193708423383,service_intensity has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
dt_service_importance,reward_delta,0.8247326960695164,0.8247326960695164,dt_service_importance has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
risk_intensity,reward_delta,0.8133535552343036,0.8133535552343036,risk_intensity has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
dt_base_risk,reward_delta,0.7702588786234249,0.7702588786234249,dt_base_risk has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
resilience_need,reward_delta,0.7222216940540037,0.7222216940540037,resilience_need has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
cost_sensitivity,reward_delta,-0.661706292785481,0.661706292785481,cost_sensitivity has a negative monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
dt_profit_stress,reward_delta,-0.37428119805442017,0.37428119805442017,dt_profit_stress has a negative monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
dt_context_signal,reward_delta,0.34132273643881345,0.34132273643881345,dt_context_signal has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
dt_demand_pressure,reward_delta,0.14341697594205435,0.14341697594205435,dt_demand_pressure has a positive monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
dt_cost_pressure,reward_delta,-0.011434029018393951,0.011434029018393951,dt_cost_pressure has a negative monotonic association with reward_delta. The value is computed from actual test-set decision outcomes.
risk_intensity,risk_reduction,0.9855781736868636,0.9855781736868636,risk_intensity has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_service_importance,risk_reduction,0.9580106588121879,0.9580106588121879,dt_service_importance has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
resilience_need,risk_reduction,0.9542771702984612,0.9542771702984612,resilience_need has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
service_intensity,risk_reduction,0.948345601916953,0.948345601916953,service_intensity has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_base_risk,risk_reduction,0.9465521648768584,0.9465521648768584,dt_base_risk has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_base_delay_prob,risk_reduction,0.8594843618014054,0.8594843618014054,dt_base_delay_prob has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_context_signal,risk_reduction,0.6233406274627833,0.6233406274627833,dt_context_signal has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
cost_sensitivity,risk_reduction,-0.469996156363747,0.469996156363747,cost_sensitivity has a negative monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_demand_pressure,risk_reduction,0.3553324467204349,0.3553324467204349,dt_demand_pressure has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_cost_pressure,risk_reduction,0.13544190565572278,0.13544190565572278,dt_cost_pressure has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_profit_stress,risk_reduction,0.03913862921279597,0.03913862921279597,dt_profit_stress has a positive monotonic association with risk_reduction. The value is computed from actual test-set decision outcomes.
dt_service_importance,service_delta,0.9527029704052365,0.9527029704052365,dt_service_importance has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
risk_intensity,service_delta,0.9505772395419358,0.9505772395419358,risk_intensity has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
service_intensity,service_delta,0.949731681410877,0.949731681410877,service_intensity has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
resilience_need,service_delta,0.9320935231842372,0.9320935231842372,resilience_need has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
dt_base_delay_prob,service_delta,0.8983483373600227,0.8983483373600227,dt_base_delay_prob has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
dt_base_risk,service_delta,0.8973760940536472,0.8973760940536472,dt_base_risk has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
dt_context_signal,service_delta,0.49506848269047843,0.49506848269047843,dt_context_signal has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
cost_sensitivity,service_delta,-0.4799207335114046,0.4799207335114046,cost_sensitivity has a negative monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
dt_demand_pressure,service_delta,0.2919013007425902,0.2919013007425902,dt_demand_pressure has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
dt_cost_pressure,service_delta,0.131588284320371,0.131588284320371,dt_cost_pressure has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
dt_profit_stress,service_delta,0.023450603202134747,0.023450603202134747,dt_profit_stress has a positive monotonic association with service_delta. The value is computed from actual test-set decision outcomes.
