algorithm,baseline_model,proposed_model,baseline_accuracy,proposed_accuracy,accuracy_delta,accuracy_relative_improvement_percent,baseline_balanced_accuracy,proposed_balanced_accuracy,balanced_accuracy_delta,balanced_accuracy_relative_improvement_percent,baseline_f1_macro,proposed_f1_macro,f1_macro_delta,f1_macro_relative_improvement_percent,baseline_f1_weighted,proposed_f1_weighted,f1_weighted_delta,baseline_roc_auc_ovr,proposed_roc_auc_ovr,roc_auc_delta
LightGBM,LightGBM,LightGBM-RGC,0.6110864908782037,0.9946450993426398,0.3835586084644361,62.76666465220283,0.6145209850029577,0.9945603388912678,0.3800393538883101,61.84318569470511,0.5997755056116723,0.9946263447549772,0.394850839143305,65.83310512832999,0.5957288966349283,0.9946456152582696,0.3989167186233412,0.7973207294508087,0.9999013569829106,0.20258062753210193
CatBoost,CatBoost,CatBoost-RGC,0.6219070832410074,0.992613930127779,0.3707068468867716,59.6080760095012,0.6245125483668655,0.9925674261582778,0.3680548777914122,58.93474498693354,0.6003360587621813,0.9925504571233977,0.3922143983612164,65.33247380973816,0.5964654179336599,0.9926133166388037,0.3961478987051438,0.8095311610290414,0.9998262308889343,0.19029506985989286
XGBoost,XGBoost,XGBoost-RGC,0.6219809439397297,0.9934263978137233,0.37144545387399364,59.719748248426555,0.6245345141352016,0.9932348601327817,0.36870034599758017,59.03602405515135,0.603234706929829,0.9934169192780739,0.3901822123482449,64.68165837706562,0.5993426876826943,0.9934287700894924,0.3940860824067981,0.8057458631300412,0.9996297220063922,0.19388385887635107
