state_key,best_action_id,best_action_name,q_action_0,q_action_1,q_action_2,q_action_3,q_action_4
"(2, 2, 0, 4, 4, 0, 2, 0, 0, 1, 2, 1)",0,cost_priority_procurement,13.841101175136233,6.226348746618641,5.033950347188201,6.66315216642592,4.261432760154428
"(1, 1, 0, 3, 4, 0, 2, 0, 0, 0, 1, 0)",1,balanced_procurement,12.450576331930963,14.147247908403944,9.935599556561034,9.979138677619911,11.090517868817333
"(1, 2, 0, 0, 4, 0, 2, 0, 0, 1, 1, 0)",0,cost_priority_procurement,14.94072393431824,10.723726257399028,9.919112616974278,11.730107138488595,11.745006917590747
"(2, 2, 4, 1, 4, 0, 3, 0, 0, 3, 1, 1)",0,cost_priority_procurement,14.716005653579682,10.18196756418161,8.376552194920984,8.99239227056955,8.816928623672112
"(1, 1, 3, 4, 4, 0, 3, 1, 4, 2, 2, 3)",3,service_priority_procurement,0.24565827487647948,0.5726623342513495,0.4458924204585168,5.615866415703094,0.625518107549395
"(0, 0, 1, 3, 4, 0, 3, 1, 4, 0, 1, 2)",3,service_priority_procurement,1.0957411707067122,2.111368408363376,0.7824818328926084,6.895376323834976,2.3842923508890936
"(1, 1, 2, 3, 4, 0, 3, 1, 4, 1, 2, 2)",2,resilience_priority_procurement,0.8520895540191387,0.6799095394216409,8.569330381191243,3.194783623082537,0.831790796071932
"(2, 3, 4, 0, 4, 0, 3, 1, 4, 3, 1, 3)",4,risk_avoidance_procurement,1.1367197585717788,0.0,1.0247285265128618,0.43542363609501483,8.41603523545217
"(2, 2, 0, 3, 4, 0, 2, 1, 4, 1, 2, 2)",4,risk_avoidance_procurement,4.064005491424143,4.078448067062961,6.088852984428227,5.827065022535074,8.348139258259083
"(1, 1, 0, 3, 4, 0, 2, 1, 4, 0, 1, 2)",4,risk_avoidance_procurement,5.170292673024768,5.531097610582455,5.350328991857342,5.976981591462065,9.91806399159566
"(0, 0, 1, 3, 4, 0, 2, 1, 4, 0, 1, 2)",2,resilience_priority_procurement,1.2041474295699355,1.4045728295494544,9.357438396959859,1.2728508126582558,1.711000409519428
"(0, 0, 4, 0, 2, 1, 2, 2, 4, 2, 0, 3)",2,resilience_priority_procurement,-0.10532633591921865,0.07465173961541477,4.059943086311915,0.0,1.4992314685773458
"(1, 2, 0, 0, 2, 0, 2, 1, 4, 1, 0, 2)",2,resilience_priority_procurement,2.0914500587600617,2.0184740340349636,5.895537876281171,3.077382527013414,1.9541746274834038
"(2, 2, 0, 3, 2, 0, 2, 1, 4, 1, 2, 2)",2,resilience_priority_procurement,1.2196894856626053,0.6388550249392763,10.207200434997242,0.0,0.7455574393368409
"(1, 1, 3, 3, 4, 2, 3, 1, 0, 2, 2, 1)",3,service_priority_procurement,0.07445384429851647,0.0,0.0,10.215029360796432,0.7076816027613736
"(2, 2, 4, 4, 4, 0, 3, 0, 0, 3, 3, 1)",2,resilience_priority_procurement,1.3365239187495908,1.2269689010036238,13.066946880045107,1.4722442161862686,0.0
"(1, 1, 2, 3, 4, 0, 3, 0, 0, 1, 2, 1)",4,risk_avoidance_procurement,10.652699909243244,10.355266358039811,11.290007345089393,9.615177617760285,14.376639487146392
"(0, 0, 0, 0, 4, 1, 2, 0, 0, 0, 0, 0)",4,risk_avoidance_procurement,4.553227872804528,3.2067787762366367,2.6413966747799646,5.681940545003611,12.046474981348915
"(1, 2, 1, 1, 4, 1, 3, 1, 4, 1, 1, 2)",1,balanced_procurement,0.3684938737359137,6.269904233388643,0.0,0.0,0.0
"(1, 2, 0, 0, 4, 0, 2, 1, 4, 1, 1, 2)",3,service_priority_procurement,3.7553560377234985,6.535188436955962,4.148651204133201,9.514851054500955,4.32350048070688
"(1, 2, 0, 0, 4, 0, 2, 1, 4, 1, 0, 2)",3,service_priority_procurement,2.8364585692824704,3.156639956383216,1.3654248013629289,9.171578361541679,3.355992668243658
"(0, 0, 0, 0, 4, 2, 2, 2, 4, 0, 0, 2)",3,service_priority_procurement,-0.13324015824425753,-0.06939327415460117,0.7304736038194121,6.967416025740834,0.4532010551093965
"(0, 0, 1, 3, 4, 0, 2, 2, 4, 0, 1, 2)",3,service_priority_procurement,1.8212613190290754,0.14767977854286302,2.6033128955865408,9.682869887407739,2.345189989535874
"(1, 1, 0, 4, 4, 0, 2, 1, 4, 0, 2, 2)",3,service_priority_procurement,2.8266003689260004,5.013349708534127,4.152319034621042,8.621315159089157,4.42409118203304
"(1, 1, 0, 4, 4, 1, 2, 1, 4, 0, 2, 2)",1,balanced_procurement,2.5716669221239834,9.529920642782987,0.0,1.993536334810057,0.0
"(0, 0, 0, 4, 4, 0, 2, 0, 0, 0, 1, 0)",3,service_priority_procurement,6.732553967188855,5.547710256629558,7.22913775604841,14.228820894731628,1.7771221770497156
"(3, 4, 3, 1, 4, 0, 3, 0, 0, 3, 2, 1)",0,cost_priority_procurement,13.331414920854343,0.0,2.46927627605689,3.3951127147925044,4.255810308544832
"(1, 1, 3, 1, 4, 0, 3, 0, 0, 2, 1, 1)",0,cost_priority_procurement,13.457302340260398,6.244456332035166,7.086854038818127,8.750652480270379,9.02130193820924
"(0, 0, 0, 3, 4, 0, 2, 0, 0, 0, 1, 0)",0,cost_priority_procurement,13.66484693244507,11.772967911775648,11.341370879968977,12.084843094992081,11.997567350195098
"(2, 2, 0, 3, 4, 0, 2, 0, 0, 1, 2, 1)",3,service_priority_procurement,11.621918258799468,11.362847213171694,11.439787234306253,14.642478975973791,10.172762200035969
"(0, 0, 3, 2, 4, 0, 2, 0, 0, 2, 1, 1)",0,cost_priority_procurement,10.573811101466337,0.0,0.0,0.0,1.8221280668996724
"(4, 4, 4, 0, 4, 0, 3, 0, 0, 4, 2, 2)",0,cost_priority_procurement,12.511955571389446,0.0,1.653792819309935,1.2881600319742077,0.0
"(1, 1, 2, 2, 4, 0, 3, 0, 0, 1, 1, 1)",1,balanced_procurement,6.007882845472093,13.977023650860598,6.302755698013421,9.230219560322638,5.618208471477593
"(1, 0, 3, 4, 4, 0, 3, 0, 0, 2, 2, 1)",3,service_priority_procurement,0.0,0.6889152173505904,0.6164082901480789,5.467565845096767,0.0
"(0, 0, 0, 0, 4, 3, 2, 1, 4, 0, 0, 2)",2,resilience_priority_procurement,-0.17587992930161514,-0.10686395326305585,4.7464862551739815,1.135971927807658,0.0
"(3, 3, 0, 3, 4, 0, 3, 1, 4, 2, 3, 3)",4,risk_avoidance_procurement,1.7046207664592326,0.03331543806112269,0.6443416029739302,2.771914744894421,7.938621332117978
"(0, 0, 1, 3, 4, 1, 3, 1, 4, 0, 1, 2)",4,risk_avoidance_procurement,0.0,-0.003845593583753234,0.0,0.0,1.0730531370518803
"(0, 0, 2, 1, 4, 1, 3, 2, 4, 1, 1, 2)",4,risk_avoidance_procurement,-0.22741999231842758,-0.08681750091222665,0.0,0.02608549539250434,0.621558379538502
"(3, 3, 0, 3, 4, 1, 3, 2, 4, 2, 3, 3)",4,risk_avoidance_procurement,-0.12730498532665813,0.0,-0.018455683634907155,0.062791784849076,0.7581999917295655
"(1, 1, 2, 3, 4, 2, 3, 2, 4, 1, 2, 3)",4,risk_avoidance_procurement,-0.2938445737466906,-0.13028005300572398,-0.09246972080873624,-0.027095512180457904,1.4672342919578927
"(1, 1, 0, 3, 4, 4, 3, 2, 4, 0, 3, 2)",4,risk_avoidance_procurement,-0.22550553585301475,-0.29560498262662005,0.17855841047737933,0.43238898219534455,3.4043204210629154
"(0, 0, 0, 4, 4, 4, 3, 2, 4, 0, 3, 2)",2,resilience_priority_procurement,0.3405140465582969,-0.17221749239714937,7.509927466167526,0.0,2.8012301141721165
"(2, 2, 4, 4, 4, 0, 3, 1, 0, 3, 2, 2)",4,risk_avoidance_procurement,2.6631417174502605,3.4590709503475483,0.4699769875221404,3.706229333150863,12.809789079927246
"(0, 1, 1, 1, 4, 0, 2, 0, 0, 1, 1, 0)",0,cost_priority_procurement,13.564847927166175,8.236396768600976,6.9130677710223125,4.556764158865247,8.344062142377393
