scenario_name,data_split,action_id,action_name,transition_count,mean_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_profit,mean_cost
normal,test,0,cost_priority_procurement,15000,0.7468541498614044,1.6427054703113066,0.33818548960179096,0.551,0.6296020943672478,0.6656072551991046,13.949158185911564,200.8080427029437
normal,test,1,balanced_procurement,15000,0.9545435501358686,1.5619604099738758,0.28660782697577897,0.551,0.6812647126701729,0.7190713181228013,14.364966208952689,218.26961163363444
normal,test,2,resilience_priority_procurement,15000,1.4501982161970821,1.251021279801207,0.2235541050411076,0.462981308260224,0.786897732106047,0.834345797978872,15.56128090598638,233.54848444798887
normal,test,3,service_priority_procurement,15000,1.6081526585587609,1.1224483260592153,0.2522148877386855,0.37264349201432667,0.8495642615785562,0.831713572751957,16.477245927973236,244.4619650296706
normal,test,4,risk_avoidance_procurement,15000,1.684740145017623,1.0576532238728156,0.17769685272498298,0.41781240013727533,0.8260081417530061,0.9001787384707948,14.987505256433767,253.19274949501593
normal,train,0,cost_priority_procurement,15000,0.6756960860307857,1.6469003108378588,0.3653970734280741,0.5514,0.6180292291602089,0.651881463285963,11.007955659510783,165.42705225548184
normal,train,1,balanced_procurement,15000,0.8950367980336706,1.567625447737935,0.3096846302912023,0.5514,0.6714284552776951,0.7080195866370784,11.357757177537682,179.81201332117593
normal,train,2,resilience_priority_procurement,15000,1.4121286232938564,1.2697631965141274,0.2415540116271378,0.4641721964408075,0.7817296683620436,0.8290367735351479,12.385597130037336,192.39885425365824
normal,train,3,service_priority_procurement,15000,1.5658027529776848,1.1429965415851278,0.272522474656258,0.3736020117694305,0.8445469787096882,0.8253313127612532,13.068985515062822,201.38945491971705
normal,train,4,risk_avoidance_procurement,15000,1.655062242560256,1.074239165393235,0.1920044707805454,0.418887104105119,0.8222682613080691,0.8959404979347357,11.90422321543649,208.58193545256407
normal,valid,0,cost_priority_procurement,15000,0.7054188439771053,1.652201310574304,0.3617476476254986,0.5427333333333333,0.6226819879972906,0.6563061761872507,11.51757536244036,171.013079858482
normal,valid,1,balanced_procurement,15000,0.9234402998673035,1.5707040880220058,0.30656975310652756,0.5427333333333333,0.6758567036952584,0.7119888338779062,11.922010269533377,185.88378245487172
normal,valid,2,resilience_priority_procurement,15000,1.4337223419095397,1.2681948444565498,0.23912440742309152,0.45719346613740514,0.7847352692129291,0.8313078782060338,13.070798861626889,198.89564722671278
normal,valid,3,service_priority_procurement,15000,1.58496072250511,1.1393147575906661,0.26978138273374425,0.3679849849398627,0.8466080878833682,0.8275998892542468,13.817504488672764,208.18983634945639
normal,valid,4,risk_avoidance_procurement,15000,1.6733143331021927,1.0705233451957814,0.1900732469260471,0.4125892255386339,0.8247296202553209,0.8972780927715772,12.613131053416735,215.6251876476512
