analysis_stage,module,best_baseline,best_proposed,primary_metric,baseline_value,proposed_value,absolute_gain,relative_gain_percent,secondary_metric_1,secondary_baseline_1,secondary_proposed_1,secondary_metric_2,secondary_baseline_2,secondary_proposed_2,interpretation
Step 07,Risk Prediction,CatBoost,CatBoost-RGC,Macro-F1,0.6003360587621813,0.8007445299894475,0.2004084712272661,33.38271428181136,Accuracy,0.6219070832410074,0.8009454169436443,ROC-AUC,0.8095311610290414,0.9452907988647898,Leakage-safe RGC-enhanced ML improved risk-state classification over conventional ML baseline.
Step 10,Digital Twin Decision Optimization,risk_avoidance_policy,sthg_cmappo_risk_service_policy,Mean Reward,1.683715286214282,2.1320253217800063,0.44831003556572435,26.62623777525467,Risk Reduction (%),0.177314587901297,0.1620443864549655,Delay Reduction (%),0.4172509526997269,0.329307361875443,"Proposed STHG-CMAPPO/CMARL decision layer improved reward, risk, delay, service, resilience, and profit over the strongest baseline policy."
