driver_bin,decision_count,mean_driver_value,mean_reward_delta,mean_risk_reduction,mean_delay_reduction,mean_service_delta,mean_resilience_delta,mean_profit_delta,mean_cost_delta,driver_feature
Q1_low,6770,0.18605684105880113,0.039038967542710565,-0.0004092865612481475,0.0,0.0,0.0,1.9818407470843116,-16.27937605239839,risk_intensity
Q2,6769,0.3304286779920725,0.167951883764679,0.004458839452307982,0.028099182325378676,0.035413897260946216,0.02400889842867712,3.1242222310692993,-21.151170160843435,risk_intensity
Q3,6769,0.5674513336444545,0.7406008878767102,0.02012723359368754,0.15134897706759745,0.1848976364730566,0.13346262239006337,7.994590995868672,-6.140724533903385,risk_intensity
Q4_high,6770,0.664519481138092,0.8456501656638059,0.036903139783614404,0.17232672989791747,0.21026304142720298,0.1582999115351105,6.104834552859101,-4.7415034178197075,risk_intensity
Q1_low,6770,0.1531332286644885,0.03840852036935948,-0.0003622020636789479,0.0,9.390838308226708e-05,0.0,1.503455664727198,-13.301020327035252,service_intensity
Q2,6769,0.3413339141014051,0.16715661995122036,0.005059220464300198,0.027370947069052087,0.035359896726533606,0.024617860265390958,2.900249607154712,-23.637775261408034,service_intensity
Q3,6769,0.607490305775702,0.732530146293409,0.02192529986178555,0.14905159503434626,0.18460427879205185,0.13458428050601248,4.532055916479304,-4.969348472785821,service_intensity
Q4_high,6770,0.7337997341148605,0.855145308631938,0.03445796228177183,0.1753519002720906,0.21051643995108676,0.15656954721316432,10.269182802670347,-6.404824376858327,service_intensity
Q1_low,6770,0.21261326946217912,0.04136049327183203,-0.00033039044205343516,0.0,1.9886110455794578e-05,0.0,2.333509355994044,-16.715605230350512,resilience_need
Q2,6769,0.3426599669356842,0.1896138275177688,0.004725192949997989,0.031315933992196406,0.039139628775478455,0.027088421263015746,3.495301708041771,-20.202139564432677,resilience_need
Q3,6769,0.5001167947858337,0.7577888430553825,0.020941738278406227,0.1488661523682758,0.18263533281073588,0.13222384991993497,11.113832104734419,-6.248454445029326,resilience_need
Q4_high,6770,0.5979026083075248,0.8044844795404305,0.03574354513609998,0.17159291133913154,0.2087799436281771,0.15645943306903382,2.263360915066222,-5.146450656218087,resilience_need
Q1_low,6770,0.24602335597378883,0.7821958179120906,0.025897769955172813,0.1492510649753662,0.18361324026225792,0.13539233657196312,11.249851442284129,-4.103156354837837,cost_sensitivity
Q2,6769,0.3358689121086806,0.540876145050318,0.017635638227014867,0.1064687999459558,0.129536913192207,0.09474903665112507,8.406733058174977,-8.076442632081129,cost_sensitivity
Q3,6769,0.40742979534051,0.32425965614399216,0.01079491305378097,0.0647722013800477,0.07841204644803329,0.05708700329586726,4.987063644422171,-14.406281379918873,cost_sensitivity
Q4_high,6770,0.5213361959499664,0.14590387259963664,0.006752172902147161,0.03128161070620531,0.039010549176862155,0.028542223415268988,-5.437823579081776,-21.726183433181323,cost_sensitivity
Q1_low,6770,0.045428460139618945,0.03944416315864147,-0.0002033280544029198,0.0,0.0,0.0,3.0381508432086006,-23.77859372422856,dt_base_risk
Q2,6769,0.19631731373446765,0.1973075910545768,0.0045169340602864766,0.03492147307108134,0.04186187056381667,0.0290021308423313,3.658390433027116,-13.980862188671265,dt_base_risk
Q3,6769,0.362091768741375,0.7379791812936461,0.02019835245172098,0.15059611464220857,0.18278894308009053,0.13118647299162087,10.636083410597774,-7.19986491295424,dt_base_risk
Q4_high,6770,0.5026846880127859,0.818514918233317,0.036567986896941296,0.16625819809581946,0.2059244024744493,0.15558322986155543,1.8733329184255432,-3.3525506555668105,dt_base_risk
