model_name,split,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr_macro
XGBoost-RGC,train,0.6708609323931847,0.6701591613360444,0.6880162772111129,0.6701591613360444,0.6550999117548694,0.6568951779257565,0.8546790831167543
XGBoost-RGC,valid,0.6318044168697836,0.6307022793967619,0.6429863088721567,0.6307022793967619,0.6155812731587235,0.616817985667118,0.8116715496096792
XGBoost-RGC,test,0.5984932417460669,0.5921047662697859,0.628953336003736,0.5921047662697859,0.5802967256040762,0.5794347832654569,0.7721487804117046
LightGBM-RGC,train,0.7325799482443437,0.7319754240107557,0.7516465488314156,0.7319754240107557,0.722304664409665,0.7238169877226198,0.9107833875843707
LightGBM-RGC,valid,0.6305118546421449,0.6294572125663697,0.6398949831517958,0.6294572125663697,0.6154923421785604,0.6166825070371167,0.8107380942549526
LightGBM-RGC,test,0.5935815052810399,0.5880106952687276,0.6168481903988835,0.5880106952687276,0.5774134262612886,0.5761941860570348,0.7637042521240542
CatBoost-RGC,train,0.6659940014086402,0.6649860154782057,0.6804919821657033,0.6649860154782057,0.6493594823387588,0.6512333062046946,0.8484703314140268
CatBoost-RGC,valid,0.6326168845557278,0.631323049482188,0.6413123729786868,0.631323049482188,0.6157163648689578,0.6170183233684371,0.8128499872061875
CatBoost-RGC,test,0.5950956496048453,0.5899733018137304,0.6209722339652898,0.5899733018137304,0.5754506694361903,0.5739834044847079,0.7853405595136024
