column,reason,missing_count,missing_percent
Customer Email,PII/irrelevant/high-missing column,0,0.0
Customer Fname,PII/irrelevant/high-missing column,0,0.0
Customer Lname,PII/irrelevant/high-missing column,8,0.0044
Customer Password,PII/irrelevant/high-missing column,0,0.0
Customer Street,PII/irrelevant/high-missing column,0,0.0
Product Image,PII/irrelevant/high-missing column,0,0.0
Product Description,PII/irrelevant/high-missing column,180519,100.0
Order Zipcode,PII/irrelevant/high-missing column,155679,86.2397
