algorithm,baseline_model,proposed_model,baseline_accuracy,proposed_accuracy,accuracy_delta,baseline_balanced_accuracy,proposed_balanced_accuracy,balanced_accuracy_delta,baseline_f1_macro,proposed_f1_macro,f1_macro_delta,baseline_f1_weighted,proposed_f1_weighted,f1_weighted_delta,baseline_roc_auc_ovr,proposed_roc_auc_ovr,roc_auc_delta
XGBoost,XGBoost,XGBoost-RGC,0.6219809439397297,0.6230519240712017,0.001070980131471999,0.6245345141352016,0.6250277669624297,0.0004932528272281189,0.603234706929829,0.604268225345921,0.0010335184160920052,0.5993426876826943,0.6004939052675988,0.0011512175849045514,0.8057458631300412,0.8092001746472434,0.003454311517202213
LightGBM,LightGBM,LightGBM-RGC,0.6110864908782037,0.6110864908782037,0.0,0.6145209850029577,0.6145209850029577,0.0,0.5997755056116723,0.5997755056116723,0.0,0.5957288966349283,0.5957288966349283,0.0,0.7973207294508087,0.7973207294508087,0.0
CatBoost,CatBoost,CatBoost-RGC,0.6219070832410074,0.6220178742890907,0.00011079104808331408,0.6245125483668655,0.6246150725071858,0.00010252414032030366,0.6003360587621813,0.6003056661010572,-3.0392661124145626e-05,0.5964654179336599,0.5963982639029513,-6.715403070867154e-05,0.8095311610290414,0.81006528277188,0.0005341217428385114
