scenario_name,policy_name,decision_count,mean_reward,total_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_profit,mean_cost,data_split
normal,random_policy,12000,1.2893470177553532,15472.16421306424,1.402199331946253,0.2559981459938875,0.47059156228934124,0.75458012206509,0.7898621175485625,15.479753527008977,230.0710175646646,test
normal,cost_priority_policy,12000,0.7484892966119139,8981.871559342966,1.6461566382371338,0.3380738227157968,0.5506666666666666,0.6297689944593653,0.6657630886421015,14.435289302462785,200.68412165013143,test
normal,balanced_policy,12000,0.9560441038660753,11472.529246392904,1.5651836548327072,0.28651568262951876,0.5506666666666666,0.6814234132956021,0.7192052219372279,14.857646524283991,218.13491483709933,test
normal,resilience_priority_policy,12000,1.4510066780597057,17412.080136716468,1.2536596853563835,0.22348223245102466,0.46275347120304294,0.7869314828923355,0.8343240324027867,16.04378204563506,233.40435887569632,test
normal,service_priority_policy,12000,1.6087848841954717,19305.41861034566,1.125059924415073,0.2521338007139765,0.3724601109683029,0.8495320032524081,0.8316962472159289,16.94358692217718,244.31110461755128,test
normal,risk_avoidance_policy,12000,1.6854179542578094,20225.015451093714,1.059880567815184,0.17763972323030164,0.4176067910856729,0.8260294791244905,0.9001271954134696,15.444688249482594,253.03650121103522,test
normal,rule_based_policy,12000,1.5812665364931766,18975.19843791812,1.052763140952464,0.24100505852247042,0.3836928794655308,0.819382605479638,0.8333958028322428,17.74954972017465,232.13361062544146,test
normal,q_learning_policy,12000,1.5406331458871836,18487.597750646204,1.1013554724531853,0.23991409501080457,0.3991283533003239,0.8108208583221006,0.8306178143090704,17.068490576706687,232.85654371670628,test
demand_surge,random_policy,12000,1.1602995547882335,13923.594657458802,1.457592632175705,0.27647492786710176,0.48306697373714164,0.7185932471114492,0.7766725160282425,14.789571192383221,239.27385826725117,test
demand_surge,cost_priority_policy,12000,0.6127277641141424,7352.73316936971,1.6838267073800761,0.36507736250803796,0.5506666666666666,0.588427507746624,0.652261318745981,13.431817801666888,208.7114865161367,test
demand_surge,balanced_policy,12000,0.8318625843403297,9982.351012083956,1.596573355847231,0.3094369372398803,0.5506666666666666,0.6417964863592502,0.7080048463814331,13.93108296363471,226.86031143058332,test
demand_surge,resilience_priority_policy,12000,1.3114279586967428,15737.135504360915,1.3346690193167063,0.24136081104710663,0.48589114476319517,0.7502473135779966,0.8198462483656944,15.438760739502625,242.74053323072417,test
demand_surge,service_priority_policy,12000,1.4821949249644262,17786.339099573113,1.2065304641802885,0.2723045047710947,0.39108311651671807,0.8187959768556058,0.8171264404744052,16.43417202646155,254.08354880225338,test
demand_surge,risk_avoidance_policy,12000,1.5662142471375924,18794.57096565111,1.1324320133410721,0.19185090108872577,0.4384871306399566,0.7946144704325208,0.887965268252202,14.940446340521127,263.1579612594766,test
demand_surge,rule_based_policy,12000,1.4269305712990363,17123.166855588435,1.0966494679185177,0.26028546320426804,0.40287752343880734,0.7743783636829035,0.8181744631268371,16.7547974303413,241.41895505045912,test
demand_surge,q_learning_policy,12000,1.3938145916217148,16725.775099460578,1.1559948975388583,0.25910722261166896,0.41822227096534015,0.7694594367563695,0.8156655388423524,16.188578047663285,242.17080546537454,test
