alpha,w_low,w_moderate,w_high,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.85,0.7,0.85,1.3,0.9937268080084504,0.9937123619633601,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.85,1.15,0.9937258345186617,0.9937267096252014,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,0.85,1.15,0.9937221922119176,0.9937202486408886,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.3,1.0,0.993695068387086,0.9937220071804344,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.5,1.15,0.993695068387086,0.9937220071804344,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.5,1.3,0.993694648652494,0.993719068511013,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.85,0.7,0.9936932111138056,0.9937185714591937,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.3,1.15,0.9936931242945072,0.9937161298415919,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.15,1.3,1.3,0.9936928848831283,0.9937098849967371,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.15,1.3,0.9936925357467699,0.9937016308131962,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.5,1.5,0.9936924275119149,0.9937098202238336,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.85,1.15,0.993692156909546,0.993690999784957,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.15,1.3,0.9936921503388573,0.9937019117255578,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,1.0,1.3,0.9936908713158932,0.9936919072949447,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,0.85,0.7,0.9936901967374192,0.9937132341243267,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,0.85,0.7,0.9936895563780527,0.9937121104748811,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.7,0.85,0.9936894791913256,0.993694975510173,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.0,1.3,0.9936851061799999,0.9936844740277407,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.3,1.15,0.9936577761930282,0.9936815436507932,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.3,1.3,0.9936569345835232,0.9936756663119507,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.5,1.5,0.9936569345835232,0.9936756663119507,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.3,1.5,1.15,0.9936567290193054,0.9936852384636478,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.5,1.0,0.9936567263952045,0.9936868373441653,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.5,1.5,0.9936561620298624,0.9936741969772401,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.3,1.3,1.0,0.9936539085729118,0.9936801172682387,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.15,1.0,0.9936536998714492,0.9936753635788419,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.15,1.3,0.9936531867880102,0.993661858654085,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.85,1.0,0.9936527681909914,0.9936589199846638,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.0,1.15,0.9936527681909914,0.9936589199846638,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.3,1.5,0.9936527681909914,0.9936589199846638,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.7,0.7,0.7,0.9936526289710813,0.9936680169052888,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.85,0.85,0.9936526289710813,0.9936680169052888,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.0,1.0,0.9936526289710813,0.9936680169052888,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.15,1.15,0.9936526289710813,0.9936680169052888,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.3,1.3,0.9936526289710813,0.9936680169052888,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.5,1.5,0.9936526289710813,0.9936680169052888,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.15,0.85,0.993652405349028,0.9936780861088051,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,1.0,1.5,0.9936516869092952,0.9936382197529082,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,1.0,1.3,0.9936509724460726,0.9936528483271108,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.0,1.5,0.9936496141094754,0.9936368799640046,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.15,1.5,0.9936478039775078,0.9936472300798823,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.85,0.7,1.0,0.993645317547259,0.9936372904221731,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.3,0.85,0.9936239270781005,0.9936595330540162,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,1.15,0.7,0.9936228733023421,0.9936591873687513,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,1.0,0.7,0.9936222257551387,0.9936535909422703,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.3,1.5,1.0,0.9936211434180401,0.993652402519921,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.5,1.15,0.99362098588777,0.9936484267947051,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.15,1.5,1.3,0.9936205617081567,0.993645488125284,XGBoost-RGC,XGBoost,RGC-RiskIndicator
