scenario_name,policy_name,decision_count,mean_reward,total_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_profit,mean_cost,data_split
normal,sthg_cmappo_pareto_policy,12000,1.6933419966023449,20320.103959228138,1.0704160468539903,0.1829915847243448,0.4174982884504739,0.8253505250173769,0.899987194405124,16.573505094940618,245.52475565359296,test
normal,sthg_cmappo_adaptive_hybrid_policy,12000,1.9685440101280272,23622.528121536325,0.9327881462824307,0.18761335070765348,0.36705809125295996,0.8937546811630488,0.9349090377100346,21.069280553473117,215.69193676627,test
normal,sthg_cmappo_risk_service_policy,12000,2.134965784242507,25619.58941091009,0.8096445736439112,0.16233960771169664,0.32958958173784514,0.9337815496180404,0.9791632343851568,20.30740288971783,241.02302971985532,test
normal,sthg_cmappo_cost_resilient_policy,12000,1.8180585506725675,21816.70260807081,1.0390709737550075,0.20469206624592126,0.40071309881898065,0.8627358583075867,0.9056478977665058,20.73991340218294,219.69226258973703,test
demand_surge,sthg_cmappo_pareto_policy,12000,1.5704810110905376,18845.77213308645,1.1388802400357856,0.19575283923069392,0.43834453031445075,0.7933874191927448,0.887752389031381,15.789829834061852,256.8923779166593,test
demand_surge,sthg_cmappo_adaptive_hybrid_policy,12000,1.867664974174822,22411.97969009786,0.9899497659552279,0.20262241876426576,0.38541099581560795,0.8697766101571643,0.9244983759123825,20.89668195949235,224.3196142369208,test
demand_surge,sthg_cmappo_risk_service_policy,12000,2.04371976065463,24524.637127855556,0.8540266702170533,0.1753267763286324,0.34606906082473743,0.9112605499712115,0.9700021514584937,20.171045066679955,250.66395090864953,test
demand_surge,sthg_cmappo_cost_resilient_policy,12000,1.7078923795139338,20494.708554167206,1.103551010024156,0.22106743154559497,0.42074875375992965,0.8363791140247593,0.8942610621499155,20.52820643044761,228.4799530933265,test
logistics_disruption,sthg_cmappo_pareto_policy,12000,1.2926740692763488,15512.088831316185,1.3440286383479232,0.23386403858882576,0.5393962907530248,0.7692841557636686,0.8309657887759717,14.690853090582888,265.10328735973894,test
logistics_disruption,sthg_cmappo_adaptive_hybrid_policy,12000,1.6008528508441013,19210.234210129216,1.1606621647989774,0.22888828786333723,0.495528423191496,0.8397433954341134,0.8859956497132819,19.18266337596068,232.9472917075716,test
logistics_disruption,sthg_cmappo_risk_service_policy,12000,1.8074991430738876,21689.989716886652,0.9898350378336201,0.1980543214082699,0.44494593534609095,0.8857882133172921,0.9357604319458172,18.56582185462579,260.30487209744376,test
logistics_disruption,sthg_cmappo_cost_resilient_policy,12000,1.4172288924423653,17006.746709308383,1.3028839756668706,0.24972432082002397,0.5409626834056239,0.803331554879925,0.8521725070538164,18.700247378435343,237.267643596916,test
supplier_shock,sthg_cmappo_pareto_policy,12000,1.3929393931621692,16715.27271794603,1.2533881224871106,0.232601037790098,0.48418719944021066,0.780096734031491,0.8591412764685308,14.376397840440152,281.1636328222275,test
supplier_shock,sthg_cmappo_adaptive_hybrid_policy,12000,1.6969689373015577,20363.627247618693,1.0817911778440399,0.24014508890579644,0.4257873858534335,0.8562669860238223,0.8998907623174583,19.458951554907667,245.88880791354777,test
supplier_shock,sthg_cmappo_risk_service_policy,12000,1.8936741812890259,22724.09017546831,0.9253619167950954,0.20779469787097168,0.38232391481590033,0.9006002561167764,0.9483848435106134,18.725884911196708,274.766253880635,test
supplier_shock,sthg_cmappo_cost_resilient_policy,12000,1.5230940417228913,18277.128500674695,1.2114392440778883,0.26200584479477923,0.46482719463001754,0.821196060519008,0.8673139083135072,19.033864535740307,250.4491793523002,test
combined_stress,sthg_cmappo_pareto_policy,12000,1.1775749586307982,14130.899503569579,1.4000221454998802,0.24918397425361222,0.5504489967271486,0.7356428342024492,0.8316320155106657,13.250349653795846,291.9917815252992,test
combined_stress,sthg_cmappo_adaptive_hybrid_policy,12000,1.4423852455795778,17308.622946954933,1.2568703180584524,0.2589064239765618,0.5212224895792031,0.8104907931244452,0.8680086209011982,18.443343656170708,254.51648538419857,test
combined_stress,sthg_cmappo_risk_service_policy,12000,1.6661781890566574,19994.13826867989,1.0699497786294985,0.22402865864214133,0.46801720606774017,0.8592934935460359,0.920009064830046,17.824998466839986,284.40717506942923,test
combined_stress,sthg_cmappo_cost_resilient_policy,12000,1.2792975975458107,15351.571170549729,1.379333289521093,0.28247505141937135,0.5506666666666666,0.7758732541126057,0.8372098002763996,18.038508935742,259.23686985588967,test
