algorithm,baseline_model,proposed_model,baseline_accuracy,proposed_accuracy,accuracy_delta,accuracy_relative_improvement_percent,baseline_balanced_accuracy,proposed_balanced_accuracy,balanced_accuracy_delta,baseline_f1_macro,proposed_f1_macro,f1_macro_delta,f1_macro_relative_improvement_percent,baseline_f1_weighted,proposed_f1_weighted,f1_weighted_delta,baseline_roc_auc_ovr,proposed_roc_auc_ovr,roc_auc_delta
CatBoost,CatBoost,CatBoost-RGC,0.6219070832410074,0.8009454169436443,0.1790383337026369,28.788598574821865,0.6245125483668655,0.7994415679795818,0.17492901961271623,0.6003360587621813,0.8007445299894475,0.20040847122726613,33.38271428181136,0.5964654179336599,0.8003919985349143,0.20392658060125435,0.8095311610290414,0.9452907988647898,0.1357596378357484
LightGBM,LightGBM,LightGBM-RGC,0.6110864908782037,0.782886476106064,0.17179998522786033,28.113857496827233,0.6145209850029577,0.7786070454737005,0.1640860604707428,0.5997755056116723,0.7814385910786411,0.18166308546696885,30.28851358004399,0.5957288966349283,0.7823702186191442,0.1866413219842159,0.7973207294508087,0.9401150857147154,0.14279435626390669
XGBoost,XGBoost,XGBoost-RGC,0.6219809439397297,0.7733215156215377,0.15134057168180803,24.332027075169208,0.6245345141352016,0.7690617000123098,0.14452718587710822,0.603234706929829,0.7719565971250524,0.16872189019522343,27.969526331456578,0.5993426876826943,0.7725392231015085,0.1731965354188142,0.8057458631300412,0.9289920682744,0.1232462051443588
