proposed_model,base_algorithm,candidate_feature_set,feature_count,selected_alpha,selected_class_weights,valid_accuracy,valid_f1_macro,valid_balanced_accuracy,valid_roc_auc,test_accuracy_preview,test_f1_macro_preview,test_balanced_accuracy_preview,candidate_status
XGBoost-RGC,XGBoost,RGC-StrictContext,75,0.7,"(0.8, 1.0, 0.9)",0.6475736760469754,0.6411810861949974,0.6467935514467786,0.8305541355630531,0.5902577738385405,0.5965709417565129,0.5896639654226967,SAFE_SELECTABLE
XGBoost-RGC,XGBoost,RGC-ProxyRiskContext,79,1.0,"(1.1, 1.2, 1.1)",0.8202599896595022,0.8197193249007461,0.8199732040881416,0.9556830027571653,0.7733215156215377,0.7719565971250524,0.7690617000123098,SAFE_SELECTABLE
XGBoost-RGC,XGBoost,RGC-ExpandedContext,129,1.0,"(1.0, 1.35, 1.2)",0.8170470492650861,0.8166960418585701,0.8166395943787043,0.9546205962671751,0.777273063003176,0.7767014380503778,0.774514999589357,SAFE_SELECTABLE
LightGBM-RGC,LightGBM,RGC-StrictContext,75,0.7,"(1.0, 1.2, 0.9)",0.6493463328163085,0.6447526392359938,0.6489162044851012,0.8316540676720098,0.5948371371593175,0.5988126617523637,0.5914821640529871,SAFE_SELECTABLE
LightGBM-RGC,LightGBM,RGC-ProxyRiskContext,79,1.0,"(1.0, 1.1, 0.9)",0.82687052219514,0.8266747771652135,0.8267856185608754,0.960863182193563,0.782886476106064,0.7814385910786411,0.7786070454737005,SAFE_SELECTABLE
LightGBM-RGC,LightGBM,RGC-ExpandedContext,129,1.0,"(1.1, 1.2, 1.0)",0.8265012187015289,0.8263415837350484,0.826381999878189,0.9602706382321285,0.774466356451732,0.7724862928759061,0.7696146317593374,SAFE_SELECTABLE
CatBoost-RGC,CatBoost,RGC-StrictContext,75,0.85,"(0.8, 1.0, 0.8)",0.6490508900214196,0.6438144746840613,0.6483905067114275,0.8340222402291814,0.6247137897924514,0.6218301447782641,0.6197884993053308,SAFE_SELECTABLE
CatBoost-RGC,CatBoost,RGC-ProxyRiskContext,79,1.0,"(1.2, 1.35, 1.1)",0.8232882783071128,0.8231167219177369,0.8232113308190424,0.9585690439370054,0.7886476106063963,0.7879743766998129,0.7851197048960085,SAFE_SELECTABLE
CatBoost-RGC,CatBoost,RGC-ExpandedContext,129,1.0,"(1.2, 1.2, 1.1)",0.8237314424994461,0.8232473085826663,0.823435328396822,0.9586716033393176,0.8009454169436443,0.8007445299894475,0.7994415679795818,SAFE_SELECTABLE
