algorithm,baseline_model,proposed_model,baseline_accuracy,proposed_accuracy,accuracy_delta,baseline_balanced_accuracy,proposed_balanced_accuracy,balanced_accuracy_delta,baseline_f1_macro,proposed_f1_macro,f1_macro_delta,baseline_f1_weighted,proposed_f1_weighted,f1_weighted_delta,baseline_roc_auc_ovr,proposed_roc_auc_ovr,roc_auc_delta
LightGBM,LightGBM,LightGBM-RGC,0.6110864908782037,0.5935815052810399,-0.017504985597163736,0.6145209850029577,0.5880106952687276,-0.026510289734230086,0.5997755056116723,0.5774134262612886,-0.0223620793503837,0.5957288966349283,0.5761941860570348,-0.019534710577893577,0.7973207294508087,0.7637042521240542,-0.033616477326754435
XGBoost,XGBoost,XGBoost-RGC,0.6219809439397297,0.5984932417460669,-0.023487702193662807,0.6245345141352016,0.5921047662697859,-0.03242974786541564,0.603234706929829,0.5802967256040762,-0.022937981325752754,0.5993426876826943,0.5794347832654569,-0.019907904417237332,0.8057458631300412,0.7721487804117046,-0.0335970827183365
CatBoost,CatBoost,CatBoost-RGC,0.6219070832410074,0.5950956496048453,-0.02681143363616212,0.6245125483668655,0.5899733018137304,-0.03453924655313512,0.6003360587621813,0.5754506694361903,-0.024885389325991047,0.5964654179336599,0.5739834044847079,-0.022482013448952065,0.8095311610290414,0.7853405595136024,-0.02419060151543906
