scenario_name,policy_name,decision_count,mean_reward,total_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_profit,mean_cost,data_split
normal,random_policy,126363,1.2405308099073062,156757.19473231694,1.413187724209785,0.2762901604080039,0.46963797325946227,0.7484936590482651,0.7825063945618072,11.564128194056677,190.08696205247412,train
normal,cost_priority_policy,126363,0.6750441487697665,85300.603770994,1.6509563679562156,0.36561632501128294,0.5494250690471103,0.6186481186383014,0.6523643167802254,10.69772144439468,165.91026879942424,train
normal,balanced_policy,126363,0.8941733148388531,112990.42258298199,1.5707892996432746,0.3098600354342874,0.5494250690471103,0.6720657602606397,0.7084429448790526,11.02082208129828,180.33724869502635,train
normal,resilience_priority_policy,126363,1.4094322149897969,178100.0829827557,1.2716060999611263,0.2416908276387442,0.46260246786576253,0.7820271096153105,0.8291147888907688,11.998519748144346,192.9608561036782,train
normal,service_priority_policy,126363,1.5620815894243643,197389.31588443095,1.145037197316601,0.2726768311821729,0.3723385716968333,0.8446015931679012,0.8253401972773339,12.65158945935585,201.9777185384295,train
normal,risk_avoidance_policy,126363,1.6520718156206853,208760.75083727666,1.0755699889448247,0.1921132219692582,0.41747051978129796,0.8225316184556071,0.8959118651989302,11.511502613673306,209.19120848623055,train
normal,rule_based_policy,126363,1.5231911999444898,192475.00959858557,1.046341624875773,0.2586764860175934,0.3862692286724362,0.8085161215506604,0.8264509990250637,13.168981608044364,191.74247477611613,train
normal,q_learning_policy,126363,1.471041256754662,185885.18632728935,1.1136721428919143,0.2567963896455429,0.4071673779999695,0.7966795687360012,0.823172752038317,12.318812344561698,192.19760910394572,train
normal,random_policy,27078,1.2646862341537883,34245.17384841628,1.4137661975999263,0.2729727426574105,0.4634661624587733,0.7513138444405194,0.7853839759775825,12.44653058314976,194.1741786402594,valid
normal,cost_priority_policy,27078,0.7092715644748282,19205.6554228494,1.6511395065136167,0.3605627082296707,0.5411034788389099,0.6237664101615308,0.6573876022334917,11.426931501236805,169.65921024172542,valid
normal,balanced_policy,27078,0.9265933830908781,25090.2956273348,1.5705827773175847,0.3055677595070268,0.5411034788389099,0.6768642886250412,0.7130001020918145,11.818625122527976,184.4121850453537,valid
normal,resilience_priority_policy,27078,1.435552907249343,38871.90162249771,1.2697843440707777,0.23834285241548095,0.455677937662963,0.7856675867764009,0.8321462861219034,12.925278701433133,197.3210379985285,valid
normal,service_priority_policy,27078,1.586038633290952,42946.7541122524,1.1413795865597391,0.26889962836618364,0.36676516933848247,0.8473748588341484,0.8284822782325658,13.6386917947737,206.5416472507962,valid
normal,risk_avoidance_policy,27078,1.6739825796209296,45328.10029097553,1.0730423200144867,0.18945201089435662,0.4112215535007227,0.8255063663882368,0.8978306159344305,12.457728152763073,213.9181346526103,valid
normal,rule_based_policy,27078,1.547130956466854,41893.21203920947,1.0433496965522364,0.2545463442440615,0.38098876297843,0.8109046671622769,0.8299136193551043,14.115417491859088,195.95875512653083,valid
normal,q_learning_policy,27078,1.498387026186228,40573.32389507068,1.1057559561936163,0.2546422994810741,0.3982966206708098,0.8008198005364608,0.8252983772030718,13.338856365958145,196.3672843148592,valid
normal,random_policy,27078,1.287626182062282,34866.341757882474,1.398847213343517,0.25539834455127913,0.470605194553695,0.7547838993217935,0.7900717996431813,14.254592279850673,230.67139448217856,test
normal,cost_priority_policy,27078,0.7486976767950136,20273.23569225538,1.644850111688015,0.3374564641802461,0.5501883447817416,0.6302004809228696,0.6662152644753544,13.204721930596694,201.50396348128442,test
normal,balanced_policy,27078,0.9557924048322887,25880.94673804871,1.5640946741233295,0.2859912708085436,0.5501883447817416,0.6818158621389847,0.7195853402608462,13.578338673404096,219.02604726226565,test
normal,resilience_priority_policy,27078,1.4497653830250319,39256.74704155181,1.2533934942662437,0.223073191230664,0.46235916380240005,0.7872082573862225,0.8345853413022025,14.691532541769428,234.35787057062427,test
normal,service_priority_policy,27078,1.6071738838460239,43519.05442678263,1.1251694502892216,0.2516723183115184,0.37214274159705374,0.8497759032970206,0.831969140858427,15.579025157843963,245.30917293373756,test
normal,risk_avoidance_policy,27078,1.683715286214282,45591.64252011033,1.060025786347824,0.177314587901297,0.4172509526997269,0.8262571989656896,0.9003051566544014,14.121505770572872,254.07021482422817,test
normal,rule_based_policy,27078,1.5799729126159543,42782.50652781481,1.0531469303135932,0.24049742127302598,0.383369978808604,0.8197447863290644,0.8337591089071994,16.425919031244764,233.0859555235664,test
normal,q_learning_policy,27078,1.5380150442648866,41646.371368604596,1.1024255324057874,0.2396077956496565,0.398935476389198,0.8108762562182358,0.8306302290964711,15.753764257120599,233.79822168465364,test
