scenario_name,data_split,action_id,action_name,transition_count,mean_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_profit,mean_cost
normal,test,0,cost_priority_procurement,8000,0.7465888349053964,1.6434736126227572,0.3374639345814319,0.55075,0.6299951474757987,0.666043032709284,13.910685054814687,199.30707220876332
normal,test,1,balanced_procurement,8000,0.953734690386849,1.5633634892072823,0.28600463980720525,0.55075,0.6816080512809738,0.7194687319291786,14.29109379984876,216.63812196604707
normal,test,2,resilience_priority_procurement,8000,1.4484682557622097,1.2535957982690258,0.22308361904962012,0.4627675502306872,0.78717568407595,0.8346136141972879,15.396584976758865,231.80279050367037
normal,test,3,service_priority_procurement,8000,1.6062663534449433,1.1255096963494517,0.2516840830303406,0.3724714428686019,0.8497837931931914,0.8320372480418811,16.24658729372647,242.6346966019727
normal,test,4,risk_avoidance_procurement,8000,1.6825792878101213,1.0607178871029883,0.17732287668046726,0.4176194965496446,0.8262337046060759,0.9003227664377979,14.783072865241204,251.30022148061457
demand_surge,test,0,cost_priority_procurement,8000,0.6111728545578353,1.6806663625807776,0.3644196894244434,0.55075,0.5886737304417337,0.6525651552877784,12.950059471956813,207.27935509711384
demand_surge,test,1,balanced_procurement,8000,0.8298486921401892,1.594329731946079,0.3088850109917817,0.55075,0.6419982953834517,0.7082857622402958,13.405037551300511,225.30364684468896
demand_surge,test,2,resilience_priority_procurement,8000,1.3090862020914387,1.33403257884799,0.24093030857358974,0.4859059277422216,0.7504734141820107,0.8201761276087508,14.826934017419592,241.0749021238172
demand_surge,test,3,service_priority_procurement,8000,1.4799498541295522,1.206443845729782,0.27181880967276795,0.39109501501203203,0.819114844331856,0.8174871283129689,15.770036018263953,252.34008446605162
demand_surge,test,4,risk_avoidance_procurement,8000,1.5635167244455277,1.1327337351386786,0.19150870681490464,0.43850047137712683,0.7948133940648607,0.8881749173505942,14.309445997776319,261.35223033983914
logistics_disruption,test,0,cost_priority_procurement,8000,0.5311071038268291,1.7550849214251398,0.4112707334925889,0.55075,0.5989962919331127,0.6291396332537056,12.80004010759182,215.25163798546438
logistics_disruption,test,1,balanced_procurement,8000,0.7684614649728839,1.6589696467250292,0.3488906781265652,0.55075,0.6551959151868426,0.6886848583165033,13.267981596841079,233.96917172333082
logistics_disruption,test,2,resilience_priority_procurement,8000,1.122832155446254,1.4748219505021656,0.27216201524053657,0.55075,0.736657990199891,0.7874509987778046,13.72977313441151,250.347013743964
logistics_disruption,test,3,service_priority_procurement,8000,1.1770847319079563,1.4192547922028544,0.3070545812970156,0.5028364478726126,0.7833874258946809,0.7680547473447215,14.081310243550778,262.04547233013056
logistics_disruption,test,4,risk_avoidance_procurement,8000,1.290147391153837,1.331471053069566,0.21633390955017007,0.5507276470241402,0.7641880331635773,0.844207981220893,12.762487717108247,271.40423919906374
supplier_shock,test,0,cost_priority_procurement,8000,0.4562649738167797,1.7840968401181194,0.4310493699666072,0.55075,0.5856892646140249,0.6192503150166964,12.17715015922351,227.21006231799015
supplier_shock,test,1,balanced_procurement,8000,0.7012794389843993,1.684614427404775,0.36601718649033865,0.55075,0.6430027816740578,0.6802742050578702,12.661777639889097,246.96745904129364
supplier_shock,test,2,resilience_priority_procurement,8000,1.1007616342915107,1.476662415150782,0.28554703238351375,0.5363559878445453,0.7330605727576235,0.7860144523706092,13.32268178412872,264.2551811741842
supplier_shock,test,3,service_priority_procurement,8000,1.2712552674035973,1.333598350161625,0.32214969094952145,0.4320668737275782,0.800664324246953,0.7823753126676358,14.23331025206666,276.60355412624887
supplier_shock,test,4,risk_avoidance_procurement,8000,1.385894024989277,1.2461629714694906,0.2269732821509981,0.48443861599758764,0.7810514847345914,0.8596766775852045,12.820093902381714,286.4822524879006
combined_stress,test,0,cost_priority_procurement,8000,0.32610000299252456,1.8290310594120383,0.46324425245528345,0.55075,0.5521674139687809,0.6031528737723583,11.277640635687233,235.1823452063407
combined_stress,test,1,balanced_procurement,8000,0.5819631258908643,1.7258547720385047,0.39445359900084453,0.55075,0.6110594884196453,0.6662842163328391,11.846930904999473,255.6329839199355
combined_stress,test,2,resilience_priority_procurement,8000,0.980048698438186,1.5444031169560672,0.30785539428847575,0.55075,0.7037816006530941,0.7720063589614404,12.802064620098708,273.52729279433106
combined_stress,test,3,service_priority_procurement,8000,0.9773429588185866,1.5476438539872044,0.3472909340302465,0.5288337106274449,0.7448735514997229,0.7417121348571675,12.913599589302564,286.3089419903278
combined_stress,test,4,risk_avoidance_procurement,8000,1.1725623392163238,1.3933437831178737,0.24470556981904482,0.55075,0.7369012030408844,0.8324173063207684,11.884776120061938,296.53426134712515
