local_case_type,dt_row_id,risk_intensity,service_intensity,resilience_need,cost_sensitivity,dt_base_risk,dt_base_delay_prob,dt_context_signal,reward_delta,risk_reduction,delay_reduction,service_delta,resilience_delta,profit_delta,cost_delta,explanation_text
highest_reward_gain,166660,0.8633693793969781,0.9389830656879219,0.7127845506401693,0.36492861361025114,0.7534828000350398,1.0,0.7882763668104006,1.3113843961282154,0.08901416013761276,0.21741631289321905,0.27098726990723354,0.21901432904137386,50.947448624271715,0.8726874850133299,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.3114, reduced risk by 0.0890, and reduced delay by 0.2174 versus risk-avoidance baseline."
highest_reward_gain,171232,0.8453295050846569,0.9366202601669195,0.695734903907962,0.2582561603261112,0.7037325992070321,1.0,0.7752517556427749,1.2880399696309741,0.08112132461379767,0.21739444660877083,0.2664877723877712,0.21263055115376772,60.633561197541084,2.1586814262367398,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2880, reduced risk by 0.0811, and reduced delay by 0.2174 versus risk-avoidance baseline."
highest_reward_gain,162263,0.8401113052105542,0.9285537190321825,0.6856362970674037,0.2552121380926987,0.7340199348026097,1.0,0.710602197406945,1.2834180281209426,0.08395076538660651,0.21619737190437582,0.2673608112003003,0.21402963701123623,58.28576605616266,2.2783789144690445,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2834, reduced risk by 0.0840, and reduced delay by 0.2162 versus risk-avoidance baseline."
highest_reward_gain,153950,0.8234069849067596,0.8934355143547736,0.6620267338670025,0.21779041383823372,0.7530260110026505,1.0,0.6760675949169827,1.2607435797911752,0.08256868462000444,0.20857698910338374,0.2617122762613636,0.2102008693289199,48.820327154400346,2.2589203815987275,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2607, reduced risk by 0.0826, and reduced delay by 0.2086 versus risk-avoidance baseline."
highest_reward_gain,159324,0.8291896321813249,0.9320204217438934,0.6925587570865398,0.3412088668168019,0.655337032277848,1.0,0.7782302555697618,1.2574021011143426,0.07368243068327479,0.21664622207180906,0.2617233541191333,0.2063927120844815,53.949385570028554,1.1886110947816633,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2574, reduced risk by 0.0737, and reduced delay by 0.2166 versus risk-avoidance baseline."
highest_reward_gain,169912,0.821636805254678,0.930508150762336,0.6883121961458231,0.33570689178948815,0.6339114804449572,1.0,0.7754454245974687,1.2443943339385695,0.07047754302559489,0.2164874095731305,0.259759194660653,0.20369844588770036,54.23737578219831,1.2698265122748467,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2444, reduced risk by 0.0705, and reduced delay by 0.2165 versus risk-avoidance baseline."
highest_reward_gain,158356,0.8243605848728872,0.930774245775132,0.6892079185624524,0.2941808867243231,0.6449048160494772,1.0,0.7712206142336034,1.2394440175190309,0.07200330610624567,0.2165268980730295,0.260672806747583,0.20492836447952145,54.30407984456248,1.7968860922491103,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2394, reduced risk by 0.0720, and reduced delay by 0.2165 versus risk-avoidance baseline."
highest_reward_gain,164235,0.8179430844144412,0.9280525365917787,0.6802045403328072,0.2220372706436826,0.633237350814563,1.0,0.761009938072874,1.2335449418452809,0.06999841452979605,0.21612299643021993,0.2592456742365563,0.20306941143893997,60.00282308361,2.771188761995859,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2335, reduced risk by 0.0700, and reduced delay by 0.2161 versus risk-avoidance baseline."
highest_reward_gain,168261,0.811119898816425,0.917081084018421,0.6723344399843144,0.2863139153348694,0.6474662238821416,1.0,0.724834567349685,1.23259793815517,0.07057183101327014,0.21400883279700456,0.2582235041090073,0.20255182580608877,53.82153596150599,1.823631333864796,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2326, reduced risk by 0.0706, and reduced delay by 0.2140 versus risk-avoidance baseline."
highest_reward_gain,167520,0.7988031641118267,0.913691216451125,0.6649649932151558,0.29512570880261146,0.6126131733495175,1.0,0.7228899943350766,1.217932859022005,0.06547090958071844,0.21350630660143055,0.25490397423357514,0.19814022441680312,54.68222910000074,1.7234887798695695,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.2179, reduced risk by 0.0655, and reduced delay by 0.2135 versus risk-avoidance baseline."
highest_risk_reduction,159679,0.9076293977850082,0.9559747481269423,0.9107750431783848,0.5699698442147608,0.8650209649446555,1.0,0.8063427904326053,0.8114468107036936,0.10902582373296138,0.22026665262203815,0.283958893631423,0.23559733234538305,-185.01164794456997,0.9049418599302044,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.8114, reduced risk by 0.1090, and reduced delay by 0.2203 versus risk-avoidance baseline."
highest_risk_reduction,154483,0.8853512826745824,0.9494232314710606,0.823891690683641,0.4912836172637222,0.8048340138993818,1.0,0.7987821581199693,0.8196485323833276,0.09834162319903933,0.21929440755030538,0.27742175764859267,0.22700566714777926,-79.90185834863698,0.7843661494376306,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.8196, reduced risk by 0.0983, and reduced delay by 0.2193 versus risk-avoidance baseline."
highest_risk_reduction,159721,0.8511289783844254,0.8568720545980038,0.8706107250623367,0.46412642139265164,0.8575663752094677,1.0,0.7639337134119334,0.7334779040284506,0.09499758304050848,0.19855440657274093,0.2623185710155742,0.21754566716736423,-95.2910333005461,1.392911721080793,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7335, reduced risk by 0.0950, and reduced delay by 0.1986 versus risk-avoidance baseline."
