metric,direction,best_baseline_policy,best_proposed_policy,baseline_value,proposed_value,absolute_improvement,percent_improvement
mean_reward,higher_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,7.478605240017239,8.31062975777175,0.8320245177545109,11.125396929663225
mean_risk,lower_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.06661906809743375,0.057849895928182286,0.008769172169251459,13.163156465092099
mean_delay,lower_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.135731377302558,0.11511184023485818,0.02061953706769981,15.191429923927558
mean_service,higher_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.9280747572555508,0.9779152876386152,0.04984053038306446,5.370314190038958
mean_resilience,higher_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.9057977227560815,0.9637393008682607,0.05794157811217915,6.396745835911314
mean_cost,lower_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.4332720426269232,0.41890496550071316,0.014367077126210048,3.3159483448557245
mean_profit_proxy,higher_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.8218429237992173,0.868936236921516,0.0470933131222987,5.730208505610248
action_entropy,higher_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,0.0,0.7319356151105708,0.7319356151105708,
unique_actions_used,higher_better,seller_risk_avoidance_policy,sthg_cmappo_cost_resilient_policy,1.0,4.0,3.0,300.0
