node_id,node_type,node_value,node_record_count,node_unique_orders,node_mean_risk,node_late_rate,node_low_review_rate,node_mean_freight,node_mean_delay_days
seller_state::ac,seller_state,ac,1,1,0.6431621992898359,1.0,1.0,32.84,-12.046788194444446
seller_state::am,seller_state,am,3,3,0.38386691479449025,0.6666666666666666,0.6666666666666666,27.266666666666666,9.347430555555556
seller_state::ma,seller_state,ma,405,392,0.26294892154446,0.2419753086419753,0.16049382716049382,29.978493827160495,-10.560460005144034
seller_state::pi,seller_state,pi,12,12,0.1973484899042738,0.08333333333333333,0.16666666666666666,36.943333333333335,-14.133016493055557
seller_state::ce,seller_state,ce,94,91,0.18699019046414533,0.1276595744680851,0.14893617021276595,46.38117021276596,-12.731834121355398
seller_state::pb,seller_state,pb,38,36,0.179009667821948,0.07894736842105263,0.23684210526315788,39.18815789473685,-18.89081642909357
seller_state::es,seller_state,es,372,318,0.17884032188365667,0.08602150537634409,0.16129032258064516,32.71809139784946,-12.680857477100757
seller_state::pa,seller_state,pa,8,8,0.17332328568669167,0.125,0.0,19.388749999999998,-10.573476562500002
seller_state::pe,seller_state,pe,448,406,0.16982513807137142,0.046875,0.13839285714285715,27.66174107142857,-15.520079326326885
seller_state::df,seller_state,df,899,824,0.16819786602397144,0.08342602892102335,0.16017797552836485,20.57181312569522,-12.46170243171425
seller_state::pr,seller_state,pr,8671,7673,0.16730099072954208,0.0844193287971399,0.15292353823088456,22.720968746396032,-13.50814634482972
seller_state::ba,seller_state,ba,643,569,0.16691910680189734,0.08242612752721618,0.13063763608087092,30.638693623639192,-12.097173036907437
seller_state::se,seller_state,se,10,9,0.16619875297583017,0.0,0.2,31.849,-16.600199074074077
seller_state::sp,seller_state,sp,80342,70188,0.16597630172704975,0.1050633541609619,0.16499464788031168,18.452212665853477,-10.631126514878062
seller_state::ro,seller_state,ro,14,14,0.1651050114854076,0.0,0.2857142857142857,50.91285714285714,-23.93990658068783
seller_state::rj,seller_state,rj,4818,4353,0.16404002431474515,0.10647571606475716,0.15296803652968036,19.47486508924865,-11.811548755486754
seller_state::mg,seller_state,mg,8827,7930,0.1631028821845741,0.07964200747705902,0.13911861334541747,24.084633510819078,-12.766718600521758
seller_state::sc,seller_state,sc,4075,3667,0.16292964083451533,0.07607361963190185,0.14699386503067485,26.146517791411043,-13.482908579016133
seller_state::mt,seller_state,mt,145,137,0.16216005092424896,0.05517241379310345,0.08275862068965517,31.942965517241376,-14.89329418103448
seller_state::go,seller_state,go,520,463,0.14983642600448743,0.06153846153846154,0.11538461538461539,24.164423076923075,-13.608765936609688
seller_state::rs,seller_state,rs,2199,1989,0.1480049156106452,0.057753524329240566,0.11505229649840837,26.031418826739426,-15.580461778712547
seller_state::rn,seller_state,rn,56,51,0.1281081023935633,0.10714285714285714,0.10714285714285714,23.287678571428568,-12.741060267857142
seller_state::ms,seller_state,ms,50,49,0.12571369483328804,0.08,0.08,23.979200000000002,-16.778057407407406
