state_bin,action_id,action_name,mean_q_value,mean_reward,count
r0|d0|c0,0,cost_priority_fulfillment,3.102939315486899,6.457937137597346,5340
r0|d0|c0,1,balanced_fulfillment,3.3381804218981515,7.015535773516408,4535
r0|d0|c0,2,accelerated_logistics,3.4712445021317446,7.333675995000453,2770
r0|d0|c0,3,seller_risk_avoidance,3.533834594711012,7.419892018562269,2735
r0|d0|c0,4,service_recovery_priority,3.460113257921518,7.327328692397915,2705
r0|d0|c1,0,cost_priority_fulfillment,3.137985540232693,6.5307746144635255,3580
r0|d0|c1,1,balanced_fulfillment,3.338234401396749,7.014904100254338,2295
r0|d0|c1,2,accelerated_logistics,3.467482598919887,7.326456799072195,1275
r0|d0|c1,3,seller_risk_avoidance,3.53152572818269,7.4117609885759625,1070
r0|d0|c1,4,service_recovery_priority,3.457051307879271,7.317527695976107,770
r0|d0|c2,0,cost_priority_fulfillment,3.0705268761655002,6.390576884524032,330
r0|d0|c2,1,balanced_fulfillment,3.324442042889386,6.981112200558748,220
r0|d0|c2,2,accelerated_logistics,3.470440512123126,7.334117872745068,180
r0|d0|c2,3,seller_risk_avoidance,3.473177490484648,7.2710015485467565,115
r0|d0|c2,4,service_recovery_priority,3.4078841172860352,7.228153121730699,140
r0|d1|c0,0,cost_priority_fulfillment,3.0809447425291685,6.408691078624156,2845
r0|d1|c0,1,balanced_fulfillment,3.3006538183338874,6.936361362605579,4695
r0|d1|c0,2,accelerated_logistics,3.4531080661578004,7.295746605244091,4755
r0|d1|c0,3,seller_risk_avoidance,3.5429950778682198,7.437859662584499,6140
r0|d1|c0,4,service_recovery_priority,3.4798152822460446,7.365757606767112,5105
r0|d1|c1,0,cost_priority_fulfillment,3.107675451897211,6.469540156112188,13000
r0|d1|c1,1,balanced_fulfillment,3.336096071189394,7.0100713808536925,12865
r0|d1|c1,2,accelerated_logistics,3.478772780960397,7.347130176064427,7790
r0|d1|c1,3,seller_risk_avoidance,3.527198389549624,7.3987067378479905,7530
r0|d1|c1,4,service_recovery_priority,3.4753939433160825,7.360463535325307,4645
r0|d1|c2,0,cost_priority_fulfillment,3.103496423701023,6.461310044868685,5165
r0|d1|c2,1,balanced_fulfillment,3.342288648326961,7.026295110650684,3805
r0|d1|c2,2,accelerated_logistics,3.480462019516787,7.354564752327247,2225
r0|d1|c2,3,seller_risk_avoidance,3.534964850774154,7.41570463568856,1560
r0|d1|c2,4,service_recovery_priority,3.467563809169024,7.338400902013123,1125
r0|d1|c3,0,cost_priority_fulfillment,3.0922522200819262,6.436112971352958,135
r0|d1|c3,1,balanced_fulfillment,3.3394869168707895,6.982899493664005,75
r0|d1|c3,2,accelerated_logistics,3.604036817562598,7.579325392913928,45
r0|d1|c3,3,seller_risk_avoidance,3.45014633500971,7.233932208046098,65
r0|d1|c3,4,service_recovery_priority,3.559409707335443,7.515249885009706,20
r0|d2|c0,0,cost_priority_fulfillment,3.117825254498188,6.4512503982285905,5
r0|d2|c1,0,cost_priority_fulfillment,2.699137748214019,5.6263974506909396,10
r0|d2|c1,1,balanced_fulfillment,3.622875083256692,7.587160280810063,5
r0|d2|c1,2,accelerated_logistics,3.5229762617129423,7.420619081049682,10
r0|d2|c1,3,seller_risk_avoidance,3.5047130555245447,7.3529464937445255,20
r0|d2|c1,4,service_recovery_priority,3.6416436921556596,7.691012985561747,5
r0|d2|c2,0,cost_priority_fulfillment,3.242451679907173,6.771605146541695,20
r1|d0|c0,0,cost_priority_fulfillment,3.1199651391104233,6.496840157624448,1495
r1|d0|c0,1,balanced_fulfillment,3.3292500637461924,6.995161875202858,1185
r1|d0|c0,2,accelerated_logistics,3.485772162365435,7.360781614315352,845
r1|d0|c0,3,seller_risk_avoidance,3.51842604278346,7.3798740296244745,690
r1|d0|c0,4,service_recovery_priority,3.431566257613931,7.267301833305001,810
r1|d0|c1,0,cost_priority_fulfillment,3.150987294440023,6.5577936358372515,1415
r1|d0|c1,1,balanced_fulfillment,3.3268268225706574,6.991886961536711,985
r1|d0|c1,2,accelerated_logistics,3.494083717040306,7.377528195892438,575
r1|d0|c1,3,seller_risk_avoidance,3.517920398136553,7.381234305183863,465
r1|d0|c1,4,service_recovery_priority,3.4776858988072483,7.365558755694229,395
r1|d0|c2,0,cost_priority_fulfillment,3.0561038516159686,6.36497725128919,305
r1|d0|c2,1,balanced_fulfillment,3.3879582588805373,7.115458662185797,270
r1|d0|c2,2,accelerated_logistics,3.479823999702294,7.356282835180399,160
r1|d0|c2,3,seller_risk_avoidance,3.504026304012096,7.353586404060887,115
r1|d0|c2,4,service_recovery_priority,3.482954573213656,7.367314646875542,115
r1|d0|c3,0,cost_priority_fulfillment,3.2968808913914116,6.8126257095926,5
r1|d0|c3,1,balanced_fulfillment,3.489025821132244,7.318997696099215,5
r1|d0|c3,3,seller_risk_avoidance,3.7946959293324953,7.98007406574159,5
r1|d1|c0,0,cost_priority_fulfillment,3.0665089687063056,6.38301317588079,1715
r1|d1|c0,1,balanced_fulfillment,3.3158516629462844,6.972927492302078,2245
r1|d1|c0,2,accelerated_logistics,3.4292882028184053,7.242287990270326,4340
r1|d1|c0,3,seller_risk_avoidance,3.5316316854695153,7.409206813201904,4520
r1|d1|c0,4,service_recovery_priority,3.452927744949969,7.312625509978937,4905
r1|d1|c1,0,cost_priority_fulfillment,3.0749213759341356,6.400014311500115,12910
r1|d1|c1,1,balanced_fulfillment,3.32744814069334,6.991790339099257,14820
r1|d1|c1,2,accelerated_logistics,3.450323051963698,7.287617920636608,16935
r1|d1|c1,3,seller_risk_avoidance,3.5301049667343594,7.407997221330969,18475
r1|d1|c1,4,service_recovery_priority,3.4719929097610653,7.352135034709139,14555
r1|d1|c2,0,cost_priority_fulfillment,3.0798297820639013,6.410095729774185,14415
r1|d1|c2,1,balanced_fulfillment,3.325724422115572,6.989515837219486,15605
r1|d1|c2,2,accelerated_logistics,3.4772588132864364,7.343984645404575,10995
r1|d1|c2,3,seller_risk_avoidance,3.53665179443457,7.4203225484875475,10430
r1|d1|c2,4,service_recovery_priority,3.4668381850467878,7.343105537261252,11035
r1|d1|c3,0,cost_priority_fulfillment,3.0654301117239777,6.384692757621744,1655
r1|d1|c3,1,balanced_fulfillment,3.3322747705593008,7.004999613580002,1765
r1|d1|c3,2,accelerated_logistics,3.477205580705347,7.34333353135282,1285
r1|d1|c3,3,seller_risk_avoidance,3.5352436961612543,7.419203638346395,935
r1|d1|c3,4,service_recovery_priority,3.457898656397318,7.322420840347384,790
r1|d2|c0,0,cost_priority_fulfillment,3.0183593280276835,6.302914789417639,35
r1|d2|c0,1,balanced_fulfillment,3.361737329786455,7.030010724442294,10
r1|d2|c0,2,accelerated_logistics,3.4312962176372506,7.235072244092848,45
r1|d2|c0,3,seller_risk_avoidance,3.630884700804076,7.661058135595485,15
r1|d2|c0,4,service_recovery_priority,3.4215067322592785,7.245790924516314,50
r1|d2|c1,0,cost_priority_fulfillment,3.058902144617625,6.370417479358523,225
r1|d2|c1,1,balanced_fulfillment,3.3278396692510555,7.001401330257409,180
r1|d2|c1,2,accelerated_logistics,3.4173798391172703,7.21533278254366,1725
r1|d2|c1,3,seller_risk_avoidance,3.5222862428770942,7.389698770011975,1850
r1|d2|c1,4,service_recovery_priority,3.4972697385522924,7.408607324081513,1650
r1|d2|c2,0,cost_priority_fulfillment,3.0650991062468345,6.376254655239815,1575
r1|d2|c2,1,balanced_fulfillment,3.2925298873806415,6.917457152488939,2195
r1|d2|c2,2,accelerated_logistics,3.4367624921936732,7.258238173537749,5000
r1|d2|c2,3,seller_risk_avoidance,3.5260980751447373,7.397803239209249,5665
r1|d2|c2,4,service_recovery_priority,3.476352574226935,7.3600000323911,6385
r1|d2|c3,0,cost_priority_fulfillment,3.046931114879249,6.3505017674844435,320
r1|d2|c3,1,balanced_fulfillment,3.30715287404459,6.9498795061007845,650
r1|d2|c3,2,accelerated_logistics,3.442000194038092,7.270072694359946,745
r1|d2|c3,3,seller_risk_avoidance,3.5247268300664176,7.391704645516997,780
r1|d2|c3,4,service_recovery_priority,3.4700557259186526,7.3445845732531145,1000
r1|d3|c1,0,cost_priority_fulfillment,2.5259232211306966,5.28275704259272,5
r1|d3|c2,0,cost_priority_fulfillment,3.043295663940207,6.365471835706351,45
r1|d3|c2,1,balanced_fulfillment,3.022179585100445,6.326307876803487,5
r1|d3|c2,4,service_recovery_priority,3.4723588584319236,7.421968751250607,5
r2|d0|c0,0,cost_priority_fulfillment,3.087131923820372,6.421268560974474,200
r2|d0|c0,1,balanced_fulfillment,3.336759692754645,7.004393111835526,270
r2|d0|c0,2,accelerated_logistics,3.4913252749389003,7.386024998853401,205
r2|d0|c0,3,seller_risk_avoidance,3.541805026738246,7.4158541925878065,200
r2|d0|c0,4,service_recovery_priority,3.493960775330446,7.402980971761691,235
r2|d0|c1,0,cost_priority_fulfillment,3.1614961829243264,6.581219401157611,320
r2|d0|c1,1,balanced_fulfillment,3.3336929545199037,7.00901204310108,105
r2|d0|c1,2,accelerated_logistics,3.463647998805963,7.312965447765833,120
r2|d0|c1,3,seller_risk_avoidance,3.546177544117508,7.4468997821958025,120
r2|d0|c1,4,service_recovery_priority,3.510731801769871,7.440451227350314,110
r2|d0|c2,0,cost_priority_fulfillment,3.066287289617434,6.4019614797525435,30
r2|d0|c2,1,balanced_fulfillment,3.4706659444834704,7.293581888269719,75
r2|d0|c2,2,accelerated_logistics,3.5256773785596174,7.434142996715192,95
r2|d0|c2,3,seller_risk_avoidance,3.58618070396822,7.53801009038678,20
r2|d0|c2,4,service_recovery_priority,3.5470920779937196,7.531526090758929,5
r2|d1|c0,0,cost_priority_fulfillment,3.03872695396162,6.330380015439301,490
r2|d1|c0,1,balanced_fulfillment,3.3451082611311524,7.032211633406803,755
r2|d1|c0,2,accelerated_logistics,3.4357920665138444,7.254095150323993,1075
r2|d1|c0,3,seller_risk_avoidance,3.5381995578146097,7.427147852124549,1130
r2|d1|c0,4,service_recovery_priority,3.4822137344554362,7.3732459892765565,1325
r2|d1|c1,0,cost_priority_fulfillment,3.0906780248343364,6.434186668758099,2780
r2|d1|c1,1,balanced_fulfillment,3.326648247595999,6.991469375563908,2400
r2|d1|c1,2,accelerated_logistics,3.4605184083540164,7.309720199127638,3270
r2|d1|c1,3,seller_risk_avoidance,3.5300305467895714,7.408038086034158,3675
r2|d1|c1,4,service_recovery_priority,3.482160789269465,7.372930098153883,3095
r2|d1|c2,0,cost_priority_fulfillment,3.075618747052157,6.404298357052573,2465
r2|d1|c2,1,balanced_fulfillment,3.3086430516611323,6.9524303277209,2260
r2|d1|c2,2,accelerated_logistics,3.4700647556776913,7.3291227727255315,2320
r2|d1|c2,3,seller_risk_avoidance,3.5373057564862065,7.418819111433119,2185
r2|d1|c2,4,service_recovery_priority,3.484782394487542,7.375856881819102,2485
r2|d1|c3,0,cost_priority_fulfillment,3.0802348318345523,6.416148434969775,230
r2|d1|c3,1,balanced_fulfillment,3.3469004151888564,7.032914187310886,315
r2|d1|c3,2,accelerated_logistics,3.4452115204705382,7.288501563086545,350
r2|d1|c3,3,seller_risk_avoidance,3.4854087961918068,7.302396862523422,130
r2|d1|c3,4,service_recovery_priority,3.4410566619761163,7.294236488530127,280
r2|d2|c0,0,cost_priority_fulfillment,3.079539762912456,6.405248868764,125
r2|d2|c0,1,balanced_fulfillment,3.3710109857869828,7.082635490881462,90
r2|d2|c0,2,accelerated_logistics,3.45356805653004,7.293900096013148,165
r2|d2|c0,3,seller_risk_avoidance,3.538126865195559,7.407500525400198,135
r2|d2|c0,4,service_recovery_priority,3.5460117552499724,7.508935487447613,230
r2|d2|c1,0,cost_priority_fulfillment,3.1326099500254143,6.518763604690883,300
r2|d2|c1,1,balanced_fulfillment,3.2978146708643243,6.930480497607524,285
r2|d2|c1,2,accelerated_logistics,3.4135454580550446,7.20836739502325,1300
r2|d2|c1,3,seller_risk_avoidance,3.518152427814663,7.378998176326827,910
r2|d2|c1,4,service_recovery_priority,3.495814732700578,7.401765026468292,1705
r2|d2|c2,0,cost_priority_fulfillment,3.069308564926257,6.390097393576331,735
r2|d2|c2,1,balanced_fulfillment,3.274771672845656,6.880451160750293,835
r2|d2|c2,2,accelerated_logistics,3.4230867845377704,7.230101569833388,2135
r2|d2|c2,3,seller_risk_avoidance,3.515036743627201,7.370857689264713,2295
r2|d2|c2,4,service_recovery_priority,3.48541376039358,7.380934021641885,3345
r2|d2|c3,0,cost_priority_fulfillment,3.146286358627156,6.554275801736851,170
r2|d2|c3,1,balanced_fulfillment,3.342526262817315,7.0323811283305355,210
r2|d2|c3,2,accelerated_logistics,3.4281570091714215,7.2357440178707675,510
r2|d2|c3,3,seller_risk_avoidance,3.5238775303859184,7.397077665300609,560
r2|d2|c3,4,service_recovery_priority,3.481793820208538,7.371337250733731,615
r2|d3|c0,0,cost_priority_fulfillment,2.872257647562489,5.969176447006168,20
r2|d3|c0,1,balanced_fulfillment,3.343501560035796,6.997610338749956,10
r2|d3|c0,2,accelerated_logistics,3.5152832246041257,7.3710639627599175,20
r2|d3|c0,3,seller_risk_avoidance,3.40628190287872,7.08494123702922,5
r2|d3|c0,4,service_recovery_priority,3.2710959436843807,6.928923323242076,5
r2|d3|c1,0,cost_priority_fulfillment,3.17115765939993,6.612609191768283,75
r2|d3|c1,1,balanced_fulfillment,3.327489243141122,6.998195356228156,40
r2|d3|c1,2,accelerated_logistics,3.4367206177762033,7.270908801628674,65
r2|d3|c1,3,seller_risk_avoidance,3.5667625185080194,7.47678344911634,70
r2|d3|c1,4,service_recovery_priority,3.5365964468255484,7.486124359049677,145
r2|d3|c2,0,cost_priority_fulfillment,3.2483563197256338,6.762896588240189,110
r2|d3|c2,1,balanced_fulfillment,3.3792135198283217,7.10435479602439,80
r2|d3|c2,2,accelerated_logistics,3.4115060472391763,7.211322945722053,80
r2|d3|c2,3,seller_risk_avoidance,3.537164812954056,7.421742862563285,95
r2|d3|c2,4,service_recovery_priority,3.504110663356689,7.413798887606553,260
r2|d3|c3,0,cost_priority_fulfillment,3.225582668074832,6.71117135483045,10
r2|d3|c3,1,balanced_fulfillment,3.4306884978067904,7.205687708311367,35
r2|d3|c3,2,accelerated_logistics,3.262253375644393,6.91654440056351,35
r2|d3|c3,3,seller_risk_avoidance,3.57478124347536,7.503252213305567,15
r2|d3|c3,4,service_recovery_priority,3.5016973339674196,7.415729312552445,50
r3|d2|c0,0,cost_priority_fulfillment,3.0265830676047307,6.3012703139432364,110
r3|d2|c0,1,balanced_fulfillment,3.4024088086923725,7.1423925593379,65
r3|d2|c0,2,accelerated_logistics,3.4332471417239177,7.25112274186379,65
r3|d2|c0,3,seller_risk_avoidance,3.5600316916959955,7.480749823049719,100
r3|d2|c0,4,service_recovery_priority,3.4812402365198976,7.382475039659275,65
r3|d2|c1,0,cost_priority_fulfillment,3.137400684033078,6.523641203954386,105
r3|d2|c1,1,balanced_fulfillment,3.276958975781891,6.892849076752798,70
r3|d2|c1,2,accelerated_logistics,3.4052663979006286,7.189264363568562,345
r3|d2|c1,3,seller_risk_avoidance,3.5066134399300624,7.3547209472530986,225
r3|d2|c1,4,service_recovery_priority,3.489787663443878,7.3905307945904495,605
r3|d2|c2,0,cost_priority_fulfillment,3.1835382137402184,6.61246518247279,105
