stage,column_name,dtype,missing_count,missing_percent,unique_values
after_feature_engineering_before_final_fill,product_id,object,0,0.0,32951
after_feature_engineering_before_final_fill,seller_id,object,0,0.0,3095
after_feature_engineering_before_final_fill,shipping_limit_date,datetime64[ns],0,0.0,93318
after_feature_engineering_before_final_fill,price,float64,0,0.0,5968
after_feature_engineering_before_final_fill,freight_value,float64,0,0.0,6999
after_feature_engineering_before_final_fill,product_category_name,string,0,0.0,74
after_feature_engineering_before_final_fill,product_category_name_english,string,0,0.0,74
after_feature_engineering_before_final_fill,customer_id,object,0,0.0,98666
after_feature_engineering_before_final_fill,order_status,string,0,0.0,7
after_feature_engineering_before_final_fill,order_purchase_timestamp,datetime64[ns],0,0.0,98112
after_feature_engineering_before_final_fill,order_estimated_delivery_date,datetime64[ns],0,0.0,450
after_feature_engineering_before_final_fill,customer_unique_id,object,0,0.0,95420
after_feature_engineering_before_final_fill,customer_zip_code_prefix,int64,0,0.0,14976
after_feature_engineering_before_final_fill,customer_city,string,0,0.0,4110
after_feature_engineering_before_final_fill,customer_state,string,0,0.0,27
after_feature_engineering_before_final_fill,seller_zip_code_prefix,int64,0,0.0,2246
after_feature_engineering_before_final_fill,seller_city,string,0,0.0,608
after_feature_engineering_before_final_fill,seller_state,string,0,0.0,23
after_feature_engineering_before_final_fill,payment_type_dominant,string,0,0.0,5
after_feature_engineering_before_final_fill,geo_distance_missing_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,order_purchase_date,datetime64[ns],0,0.0,616
after_feature_engineering_before_final_fill,purchase_year,int32,0,0.0,3
after_feature_engineering_before_final_fill,purchase_month,int32,0,0.0,12
after_feature_engineering_before_final_fill,purchase_day,int32,0,0.0,31
after_feature_engineering_before_final_fill,purchase_dayofweek,int32,0,0.0,7
after_feature_engineering_before_final_fill,purchase_hour,int32,0,0.0,24
after_feature_engineering_before_final_fill,purchase_quarter,int32,0,0.0,4
after_feature_engineering_before_final_fill,purchase_weekofyear,float64,0,0.0,52
after_feature_engineering_before_final_fill,purchase_is_weekend,int64,0,0.0,2
after_feature_engineering_before_final_fill,is_delivered_status,int64,0,0.0,2
after_feature_engineering_before_final_fill,is_canceled_status,int64,0,0.0,2
after_feature_engineering_before_final_fill,approved_missing_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,carrier_date_missing_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,customer_delivery_missing_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,estimated_delivery_days,float64,0,0.0,95956
after_feature_engineering_before_final_fill,shipping_limit_from_purchase_days,float64,0,0.0,47617
after_feature_engineering_before_final_fill,non_delivered_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,late_delivery_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,item_total_value,float64,0,0.0,29149
after_feature_engineering_before_final_fill,freight_ratio,float64,0,0.0,46719
after_feature_engineering_before_final_fill,payment_value_to_item_value_ratio,float64,0,0.0,5786
after_feature_engineering_before_final_fill,review_missing_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,review_score_filled,float64,0,0.0,11
after_feature_engineering_before_final_fill,low_review_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,high_review_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,product_volume_cm3,float64,0,0.0,4526
after_feature_engineering_before_final_fill,freight_per_kg,float64,0,0.0,44925
after_feature_engineering_before_final_fill,freight_per_1000cm3,float64,0,0.0,56515
after_feature_engineering_before_final_fill,same_seller_customer_state_flag,int64,0,0.0,2
after_feature_engineering_before_final_fill,seller_customer_route,object,0,0.0,417
after_feature_engineering_before_final_fill,seller_category_key,object,0,0.0,6616
after_feature_engineering_before_final_fill,customer_category_key,object,0,0.0,1394
after_feature_engineering_before_final_fill,order_item_count,int64,0,0.0,17
after_feature_engineering_before_final_fill,order_seller_count,int64,0,0.0,5
after_feature_engineering_before_final_fill,order_category_count,int64,0,0.0,3
after_feature_engineering_before_final_fill,seller_historical_late_rate,float64,0,0.0,18431
after_feature_engineering_before_final_fill,route_historical_late_rate,float64,0,0.0,77047
after_feature_engineering_before_final_fill,category_historical_late_rate,float64,0,0.0,75424
after_feature_engineering_before_final_fill,seller_historical_low_review_rate,float64,0,0.0,20546
after_feature_engineering_before_final_fill,seller_prior_order_item_count,int64,0,0.0,2033
after_feature_engineering_before_final_fill,product_prior_order_item_count,int64,0,0.0,527
after_feature_engineering_before_final_fill,category_prior_order_item_count,int64,0,0.0,11115
after_feature_engineering_before_final_fill,route_prior_order_item_count,int64,0,0.0,36192
after_feature_engineering_before_final_fill,category_daily_order_items,int64,0,0.0,69
after_feature_engineering_before_final_fill,category_daily_unique_orders,int64,0,0.0,62
after_feature_engineering_before_final_fill,category_daily_unique_sellers,int64,0,0.0,37
after_feature_engineering_before_final_fill,category_demand_roll_mean_7,float64,0,0.0,323
after_feature_engineering_before_final_fill,category_demand_roll_std_7,float64,0,0.0,8305
after_feature_engineering_before_final_fill,category_demand_roll_mean_14,float64,0,0.0,610
after_feature_engineering_before_final_fill,category_demand_roll_std_14,float64,0,0.0,10404
after_feature_engineering_before_final_fill,delivery_delay_component,float64,0,0.0,6372
after_feature_engineering_before_final_fill,order_status_component,float64,0,0.0,3
after_feature_engineering_before_final_fill,review_service_component,float64,0,0.0,12
after_feature_engineering_before_final_fill,freight_cost_component,float64,0,0.0,100177
after_feature_engineering_before_final_fill,seller_historical_delay_component,float64,0,0.0,18431
after_feature_engineering_before_final_fill,route_historical_delay_component,float64,0,0.0,77047
after_feature_engineering_before_final_fill,category_demand_volatility_component,float64,0,0.0,107004
after_feature_engineering_before_final_fill,payment_complexity_component,float64,0,0.0,50
after_feature_engineering_before_final_fill,dataset2_fulfillment_risk_score,float64,0,0.0,112650
after_feature_engineering_before_final_fill,risk_label,int64,0,0.0,3
after_feature_engineering_before_final_fill,risk_label_name,object,0,0.0,3
after_feature_engineering_before_final_fill,temporal_split,object,0,0.0,3
after_final_fill,order_id,object,0,0.0,98666
after_final_fill,order_item_id,int64,0,0.0,21
after_final_fill,product_id,object,0,0.0,32951
after_final_fill,seller_id,object,0,0.0,3095
after_final_fill,shipping_limit_date,datetime64[ns],0,0.0,93318
after_final_fill,price,float64,0,0.0,5968
after_final_fill,freight_value,float64,0,0.0,6999
after_final_fill,product_category_name,string,0,0.0,74
after_final_fill,product_name_lenght,float64,0,0.0,66
after_final_fill,product_description_lenght,float64,0,0.0,2960
after_final_fill,product_photos_qty,float64,0,0.0,19
after_final_fill,product_weight_g,float64,0,0.0,2204
after_final_fill,product_length_cm,float64,0,0.0,99
after_final_fill,product_height_cm,float64,0,0.0,102
after_final_fill,product_width_cm,float64,0,0.0,95
after_final_fill,product_category_name_english,string,0,0.0,74
after_final_fill,customer_id,object,0,0.0,98666
after_final_fill,order_status,string,0,0.0,7
after_final_fill,order_purchase_timestamp,datetime64[ns],0,0.0,98112
after_final_fill,order_approved_at,datetime64[ns],0,0.0,90175
after_final_fill,order_delivered_carrier_date,datetime64[ns],0,0.0,81018
after_final_fill,order_delivered_customer_date,datetime64[ns],0,0.0,95665
after_final_fill,order_estimated_delivery_date,datetime64[ns],0,0.0,450
after_final_fill,customer_unique_id,object,0,0.0,95420
after_final_fill,customer_zip_code_prefix,int64,0,0.0,14976
after_final_fill,customer_city,string,0,0.0,4110
after_final_fill,customer_state,string,0,0.0,27
after_final_fill,seller_zip_code_prefix,int64,0,0.0,2246
after_final_fill,seller_city,string,0,0.0,608
after_final_fill,seller_state,string,0,0.0,23
after_final_fill,payment_value_sum,float64,0,0.0,27845
after_final_fill,payment_value_mean,float64,0,0.0,28927
after_final_fill,payment_value_max,float64,0,0.0,27611
after_final_fill,payment_installments_mean,float64,0,0.0,51
after_final_fill,payment_installments_max,float64,0,0.0,24
after_final_fill,payment_count,float64,0,0.0,20
after_final_fill,payment_type_count,float64,0,0.0,2
after_final_fill,payment_type_dominant,string,0,0.0,5
after_final_fill,review_score_mean,float64,0,0.0,11
after_final_fill,review_score_min,float64,0,0.0,5
after_final_fill,review_score_max,float64,0,0.0,5
after_final_fill,review_count,float64,0,0.0,3
after_final_fill,review_comment_title_count,float64,0,0.0,3
after_final_fill,review_comment_message_count,float64,0,0.0,4
after_final_fill,review_response_days_mean,float64,0,0.0,81501
after_final_fill,review_creation_date_min,datetime64[ns],0,0.0,634
after_final_fill,review_answer_timestamp_max,datetime64[ns],0,0.0,97235
after_final_fill,customer_lat,float64,0,0.0,14816
after_final_fill,customer_lng,float64,0,0.0,14815
after_final_fill,customer_geo_records,float64,0,0.0,483
after_final_fill,seller_lat,float64,0,0.0,2239
after_final_fill,seller_lng,float64,0,0.0,2239
after_final_fill,seller_geo_records,float64,0,0.0,408
after_final_fill,geo_distance_km,float64,0,0.0,93345
after_final_fill,geo_distance_missing_flag,int64,0,0.0,2
after_final_fill,order_purchase_date,datetime64[ns],0,0.0,616
after_final_fill,purchase_year,int32,0,0.0,3
after_final_fill,purchase_month,int32,0,0.0,12
after_final_fill,purchase_day,int32,0,0.0,31
after_final_fill,purchase_dayofweek,int32,0,0.0,7
after_final_fill,purchase_hour,int32,0,0.0,24
after_final_fill,purchase_quarter,int32,0,0.0,4
after_final_fill,purchase_weekofyear,float64,0,0.0,52
after_final_fill,purchase_is_weekend,int64,0,0.0,2
after_final_fill,is_delivered_status,int64,0,0.0,2
after_final_fill,is_canceled_status,int64,0,0.0,2
after_final_fill,approved_missing_flag,int64,0,0.0,2
after_final_fill,carrier_date_missing_flag,int64,0,0.0,2
