node_id,rgc_degree,rgc_weighted_degree,rgc_pagerank
seller::6cf476a4ca74498db55cbccdaa9dcfb6,16.0,35.0,2.7646709031106755e-05
seller::7d456afc660226829370f3173d14520c,44.0,290.0,0.00013880870760009405
seller::85d9eb9ddc5d00ca9336a2219c97bb13,114.0,1930.0,0.0007893919031269108
seller::59fb871bf6f4522a87ba567b42dafecf,72.0,640.0,0.0002707104177375888
seller::fa1a9dec3a9940c072684a46728bf1fc,53.0,250.0,0.00015200154277966575
seller::8fdca8e349553f99bc738833a62c8802,28.0,145.0,6.270172895844594e-05
seller::5656537e588803a555b8eb41f07a944b,77.0,530.0,0.00026661686226204585
seller::c12d7463a579237ffb9248bd7cff378b,5.0,5.0,9.471457179939232e-06
seller::87b740daf17b5d1be335a64164ec6842,25.0,65.0,4.462128152584711e-05
seller::cf281cf8b7affbdfe751b29cc85580e1,5.0,5.0,1.0127909699092927e-05
seller::0747d5bb69f0586cc869d8af4c50f93e,27.0,75.0,4.967187745139355e-05
seller::b56906f7fd1696e043f1bcce164c487b,34.0,180.0,9.497264049820035e-05
seller::575df70bde3f9f2b30bf8d2e9910d725,37.0,155.0,8.98391282847633e-05
seller::066a6914e1ebf3ea95a216c73a986b91,66.0,325.0,0.00019181863370489898
seller::b14db04aa7881970e83ffa9426897925,48.0,500.0,0.00020351847142843565
seller::01cf7e3d21494c41fb86034f2e714fa1,51.0,335.0,0.00016750618845810312
seller::38e679b9e0064cd94c6f035707344dae,29.0,150.0,8.149718796937152e-05
seller::0ea22c1cfbdc755f86b9b54b39c16043,185.0,1210.0,0.0006975140711038307
seller::fedaedd3ca31d56ab33e92035e4b361c,5.0,5.0,9.403811228834463e-06
seller::8b11118053756a9a2932f447e11fc1b5,5.0,5.0,9.459483140327914e-06
seller::d12c926d74ceff0a90a21184466ce161,71.0,475.0,0.00022767190321437686
seller::9df5750209b83567ec144eb299d7d634,25.0,45.0,3.4242042509670604e-05
seller::2f4b9d112bfa44a214bc6cef085d17c8,15.0,30.0,2.3767310689731647e-05
seller::710e3548e02bc1d2831dfc4f1b5b14d4,71.0,585.0,0.0002726553410964679
seller::54aa8463e87776b5612f4bdc4bd5d4de,16.0,35.0,2.5894146816583613e-05
seller::4bde6149c15cf7e177b36fa060dd6de8,7.0,10.0,1.2993623910701744e-05
seller::827f8f69dfa529c561901c4f2e0f332f,90.0,520.0,0.0003183791444312999
seller::f41ce2e25237f9092cd8e6e7516c7a2f,30.0,140.0,7.209498719972338e-05
seller::f4aba7c0bca51484c30ab7bdc34bcdd1,50.0,585.0,0.00023284951065993963
seller::ffff564a4f9085cd26170f4732393726,41.0,100.0,6.730768394477658e-05
seller::7dc8c42cc750eeafea6c85712ffee9bf,28.0,145.0,6.99782407899376e-05
seller::5f0057b677eb963672bf05dfa3f16c34,15.0,25.0,2.3259961000605494e-05
seller::700f03c207639c22d933381ff60b35c2,9.0,20.0,1.8379470448186e-05
seller::515d781150feed28a6ac091bb0e3cb8c,14.0,30.0,2.9486556036434664e-05
seller::989becdce12ebc39863c2bceab6f3ca1,18.0,70.0,4.006286078145464e-05
seller::d03698c2efd04a549382afa6623e27fb,41.0,95.0,6.29325915230994e-05
seller::8a32e327fe2c1b3511609d81aaf9f042,84.0,900.0,0.0004161494268884102
seller::7e93a43ef30c4f03f38b393420bc753a,235.0,1645.0,0.000847541090311481
seller::cab85505710c7cb9b720bceb52b01cee,66.0,700.0,0.0003145468989509167
seller::d4f91e8be86b38da2ee35bc489645a9d,5.0,5.0,9.396933935058881e-06
seller::e24fc9fcd865784fb25705606fe3dfe7,54.0,280.0,0.00014062044143877013
seller::38874e327ce94d11390b96eb42d61928,12.0,30.0,1.9459123488230286e-05
seller::f7496d659ca9fdaf323c0aae84176632,31.0,95.0,5.886456257100753e-05
seller::5206cc4bc2297c833e6061c49bf9c43f,5.0,5.0,9.486782839162357e-06
seller::e5a38146df062edaf55c38afa99e42dc,66.0,545.0,0.0002427398311887369
seller::d50d79cb34e38265a8649c383dcffd48,59.0,335.0,0.00015145479769695816
seller::afa6714acee029b2dfdf357e5579cc03,23.0,45.0,3.220800227168727e-05
seller::cac4c8e7b1ca6252d8f20b2fc1a2e4af,62.0,250.0,0.0001408122893722187
seller::0db783cfcd3b73998abc6e10e59a102f,54.0,685.0,0.000263774800373009
seller::23613d49c3ac2bd302259e55c06c050c,51.0,305.0,0.0001533115779137858
seller::f5b84683a9bf9e1df748cf40f601b39c,5.0,5.0,9.359033313444566e-06
seller::13e85aac53340018b40c2af68001b7e0,5.0,5.0,9.388307489931048e-06
