component,weight,mean,std,min,p25,median,p75,max
delivery_delay_component,0.28,0.0573037088545862,0.21044016429181742,0.0,0.0,0.0,0.0,1.0
order_status_component,0.15,0.016704837993786064,0.11347466628204857,0.0,0.0,0.0,0.0,1.0
review_service_component,0.17,0.24304157419736647,0.3453786369274424,0.0,0.0,0.0,0.4,1.0
freight_cost_component,0.1,0.5000044385264093,0.21176950196542074,0.0077989347536617844,0.33984881269418554,0.5111750998668443,0.653743231247226,0.9940062139369729
seller_historical_delay_component,0.12,0.08805620747761163,0.09991144233006813,0.0,0.03571428571428571,0.07280607836507758,0.10907177357571576,1.0
route_historical_delay_component,0.08,0.091336578219891,0.054472693426389766,0.0,0.06891891891891892,0.0763816481680197,0.10232558139534884,1.0
category_demand_volatility_component,0.07,0.5000044385264092,0.2447063828793194,0.006393919218819352,0.29783122503328896,0.5049177762982691,0.7044897913892588,0.9909906790945405
payment_complexity_component,0.03,0.09720623007706897,0.12854410211496878,0.0,0.0,0.045454545454545456,0.13636363636363635,0.7636363636363636
dataset2_fulfillment_risk_score,1.0,0.1656584443986107,0.1171208543398235,0.011677830187786401,0.0977113901224528,0.1301663716357553,0.1859489495266426,0.8639532769069156
