model_name,metric,baseline_value,proposed_rgc_optimized_value,absolute_improvement,percent_improvement
CatBoost,accuracy,0.6234465617232808,0.973192093738904,0.3497455320156232,56.09871855719033
CatBoost,balanced_accuracy,0.6305401900891124,0.9735790036019565,0.34303881351284404,54.40395694116871
CatBoost,macro_f1,0.6231832131142164,0.9738804745739102,0.3506972614596938,56.27514574841707
CatBoost,weighted_f1,0.6189317326296768,0.9732258862927842,0.35429415366310735,57.242848441104385
CatBoost,roc_auc_ovr_macro,0.8055453418265218,0.9986833020174523,0.19313796019093044,23.97605077735322
LightGBM,accuracy,0.6242158835365132,0.9707657710971712,0.34654988756065797,55.51763367463024
LightGBM,balanced_accuracy,0.632445459195954,0.9712270683674998,0.33878160917154587,53.56692885458434
LightGBM,macro_f1,0.622134156721054,0.9715366722272475,0.3494025155061935,56.16192451925686
LightGBM,weighted_f1,0.6179942347648419,0.9707956730238552,0.3528014382590132,57.088143936045064
LightGBM,roc_auc_ovr_macro,0.8034302207661733,0.9985026968944307,0.1950724761282574,24.27995251936514
XGBoost,accuracy,0.6194815954550834,0.9636643389750267,0.34418274351994327,55.559801299197574
XGBoost,balanced_accuracy,0.6322811799412628,0.9646304862672426,0.3323493063259798,52.56352978224881
XGBoost,macro_f1,0.618968765489028,0.9646143007630372,0.3456455352740092,55.84216111469298
XGBoost,weighted_f1,0.6127885938709099,0.963689474406709,0.35090088053579915,57.262958881006846
XGBoost,roc_auc_ovr_macro,0.8056352656133425,0.9975045961647296,0.1918693305513871,23.81590512988704
