state_feature,mean,std,min,p25,median,p75,max
dt_base_risk,0.16565844439861063,0.1171208543398235,0.0116778301877864,0.09771139012245278,0.13016637163575526,0.18594894952664254,0.8639532769069156
dt_delivery_pressure,0.0573037088545862,0.21044016429181742,0.0,0.0,0.0,0.0,1.0
dt_status_pressure,0.016704837993786064,0.11347466628204857,0.0,0.0,0.0,0.0,1.0
dt_service_pressure,0.24304157419736647,0.3453786369274424,0.0,0.0,0.0,0.4,1.0
dt_freight_pressure,0.5000044385264091,0.21176950196542074,0.0077989347536617,0.33984881269418554,0.5111750998668443,0.653743231247226,0.9940062139369727
dt_seller_pressure,0.08805620747761157,0.09991144233006813,0.0,0.0357142857142857,0.07280607836507755,0.1090717735757157,1.0
dt_route_pressure,0.09133657821989095,0.054472693426389766,0.0,0.0689189189189189,0.0763816481680197,0.1023255813953488,1.0
dt_demand_pressure,0.5000044385264092,0.24470638287931942,0.0063939192188193,0.2978312250332889,0.5049177762982691,0.7044897913892588,0.9909906790945404
dt_payment_pressure,0.09720623007706894,0.12854410211496878,0.0,0.0,0.0454545454545454,0.1363636363636363,0.7636363636363636
dt_graph_context,0.25726649118120953,0.04142015543787723,0.0676783233895602,0.2305609762731891,0.25921327984565484,0.28417146331689946,0.7502072087764999
dt_entity_graph_risk,0.15879659566270435,0.027310830401548077,0.0635026897704384,0.14241759792683426,0.15544744752744089,0.17035716385103014,0.7588122303595206
dt_delay_service_graph,0.09997789955750101,0.05092623046181387,0.0,0.0717896988743516,0.09140012922382934,0.1165608603408729,1.0
dt_structural_exposure,0.5000044385264092,0.2818247545996815,0.0003266755437194,0.24516233910341756,0.5089234354194407,0.7601145139813582,0.9990858854860186
dt_resilience_pressure,0.21257689848626948,0.14301941067672094,0.0137641794705282,0.11863205171948603,0.18324333311980323,0.25702844165346805,0.8744510125892749
dt_cost_graph_pressure,0.4176589032603786,0.14074930365588542,0.0726225868315431,0.30733220743017836,0.42525776504463886,0.519554790860881,0.8284650222953279
dt_distance_pressure,0.5000044385264093,0.2886763986735408,0.00011984021304926764,0.25000665778961384,0.5000044385264092,0.7500055481580116,1.0
dt_value_pressure,0.32221415314172164,0.24381300996039382,0.01604393081582601,0.14571477954768294,0.24361442317714754,0.41676617158298035,1.0
dt_order_complexity,0.7148128421364106,0.10012041353963973,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
dt_base_delay,0.19506718397497616,0.0994307180552584,0.009879258766089655,0.13637649563435805,0.17821845884465615,0.22492538114931596,0.8933428336820748
dt_base_service,0.862605862501749,0.17529944078043097,0.0,0.7833279465556393,0.9674927012217186,0.981216148667644,1.0
dt_base_cost,0.39895912092579794,0.14943719963967297,0.04565477254761874,0.2812473820436006,0.4070920766988792,0.507025123638722,0.8500670720108205
dt_base_resilience,0.7282517765436324,0.09792981131121868,0.2858677826780488,0.6586719600336046,0.730505101579847,0.799974167614127,0.9852129734960231
dt_profit_proxy,0.7272155019907647,0.09621805283136738,0.244146269007866,0.674272670258757,0.7398815868474642,0.7948643976681006,0.9364319451133903
dt_state_pressure_index,0.22312808553197117,0.08619072285047803,0.0369667216220215,0.16965304071549261,0.20268611895811367,0.24901627145857996,0.789118230104741
dt_service_gap,0.1373941374982512,0.17529944078043097,0.0,0.018783851332356022,0.0325072987782814,0.21667205344436072,1.0
dt_resilience_gap,0.2717482234563677,0.0979298113112187,0.014787026503976897,0.20002583238587301,0.26949489842015295,0.3413280399663953,0.7141322173219512
dt_risk_delay_pressure,0.18036281418679342,0.10343287946324148,0.019353172491774033,0.12263665375842064,0.15829369722570696,0.20134279651905118,0.8555109909010209
dt_cost_sensitivity,0.38114329134245667,0.11054033426061316,0.11516178866498132,0.3028661946268053,0.36491990471229624,0.4417099529927907,0.8190703200691279
dt_coordination_opportunity,0.23516212794603367,0.06834356877643122,0.03321412983570512,0.18208397258070202,0.23627456860793766,0.28537303728155805,0.7604551306452004
dt_high_pressure_flag,0.34,0.4737108738759707,0.0,0.0,0.0,1.0,1.0
dt_low_pressure_flag,0.3300044385264092,0.4702164095674207,0.0,0.0,0.0,1.0,1.0
