node_type,node_count,total_records,mean_risk,mean_late_rate,mean_low_review_rate
product,32951,112650,0.16540857486929147,0.10511722243381212,0.15871445518640523
seller,3095,112650,0.18328182667677492,0.14748904060603976,0.18198385523476823
route,417,112650,0.18841736044612406,0.11247719750972303,0.16074204433977654
category,74,112650,0.14766513364274736,0.09503210444577033,0.1629545459509717
customer_state,27,112650,0.19556131226108592,0.12593409645348974,0.17487589539362638
seller_state,23,112650,0.19908299549150604,0.1493744433170078,0.20491980885866432
status,7,112650,0.5750632150463936,0.8684498800200681,0.6893075011928792
payment,5,112650,0.25190643429561516,0.28003562290149403,0.3253532122804767
