relation,edge_count,total_weight,mean_edge_weight,mean_risk,mean_late_rate,mean_low_review_rate
product_to_customer_state,61224,112650,1.8399647197177578,0.16950822090097162,0.10710321231530458,0.15632174941351218
seller_to_product,34448,112650,3.2701463074779378,0.16556428489924185,0.10560427292523894,0.15860926405690504
product_to_category,32951,112650,3.4187126339109586,0.16540857486929147,0.10511722243381212,0.15871445518640523
seller_to_customer_state,17567,112650,6.412591791427108,0.1825723995483003,0.1252863463787415,0.16536537121479272
seller_to_route,17567,112650,6.412591791427108,0.1825723995483003,0.1252863463787415,0.16536537121479272
seller_to_category,6616,112650,17.026904474002418,0.17238087480393066,0.12922050761255222,0.17339249361137635
seller_to_seller_state,3095,112650,36.39741518578352,0.18328182667677492,0.14748904060603976,0.18198385523476823
category_to_customer_state,1394,112650,80.81061692969871,0.17666687605798873,0.12214755274711497,0.17068338739551225
route_to_customer_state,417,112650,270.1438848920863,0.18841736044612406,0.11247719750972303,0.16074204433977654
route_to_seller_state,417,112650,270.1438848920863,0.18841736044612406,0.11247719750972303,0.16074204433977654
category_to_payment,270,112650,417.22222222222223,0.1464576407261293,0.10913657577192244,0.1572735558860742
status_to_customer_state,122,112650,923.360655737705,0.5552660017433602,0.8016205846888994,0.6472991199697854
